title,authors,year,description,url,citations
Defining roles of specific reactive oxygen species (ROS) in cell biology and physiology,"H Sies, VV Belousov, NS Chandel, MJ Davies",2022,"… We thus emphasize the need to integrate the cell biology of redox signalling across organs. 
… We recommend further exploration of the role of AHR in environmental redox biology. …",https://www.nature.com/articles/s41580-022-00456-z,1042
The genetics of obesity: from discovery to biology,"RJF Loos, GSH Yeo",2022,"The prevalence of obesity has tripled over the past four decades, imposing an enormous 
burden on people’s health. Polygenic (or common) obesity and rare, severe, early-onset …",https://www.nature.com/articles/s41576-021-00414-z,956
"HPV-associated oropharyngeal cancer: epidemiology, molecular biology and clinical management","M Lechner, J Liu, L Masterson, TR Fenton",2022,"… In addition, owing to the distinct biology of HPV + OPSCCs, targeted therapies and … In 
this Review, we provide a summary of the epidemiology, molecular biology and clinical …",https://www.nature.com/articles/s41571-022-00603-7,616
A structural biology community assessment of AlphaFold2 applications,"M Akdel, DEV Pires, EP Pardo, J Jänes",2022,"… biology, and the limitations of the AF2 method or structures derived from AF2 for applications 
in biology… into and applied to critical structural biology tasks, such as functional classification…",https://www.nature.com/articles/s41594-022-00849-w,499
Biology of sharks and their relatives,"JC Carrier, CA Simpfendorfer, MR Heithaus, KE Yopak",2022,"… From more traditional topics in elasmobranch biology to the timely issues of conservation 
and climate change, this book shows we can no longer say that sharks are poorly understood. …",https://books.google.com/books?hl=en&lr=&id=YpwIEQAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=KbwIHJ_J-B&sig=lVnrQoz52L8x8NvHEmscqClIEGE,401
Epstein-Barr virus: Biology and clinical disease,"B Damania, SC Kenney, N Raab",2022,"Epstein-Barr virus (EBV) is a ubiquitous, oncogenic virus that is associated with a number of 
different human malignancies as well as autoimmune disorders. The expression of EBV …",https://www.cell.com/cell/fulltext/S0092-8674(22)01121-7,239
ISSVA classification of vascular anomalies and molecular biology,"K Kunimoto, Y Yamamoto, M Jinnin",2022,"Vascular anomalies include various diseases, which are classified into two types according 
to the International Society for the Study of Vascular Anomalies (ISSVA) classification: …",https://www.mdpi.com/1422-0067/23/4/2358,226
Statistics or biology: the zero-inflation controversy about scRNA-seq data,"R Jiang, T Sun, D Song, JJ Li",2022,"Researchers view vast zeros in single-cell RNA-seq data differently: some regard zeros as 
biological signals representing no or low gene expression, while others regard zeros as …",https://link.springer.com/article/10.1186/s13059-022-02601-5,216
Species distribution models rarely predict the biology of real populations,"J A. Lee‐Yaw, J L. McCune, S Pironon, S N. Sheth",2022,"… To assess support for the use of SDMs to predict different aspects of population biology, we 
searched Web of Science for studies testing the relationship between SDM predictions and …",https://onlinelibrary.wiley.com/doi/abs/10.1111/ecog.05877,202
Clinical biology of the pituitary adenoma,"S Melmed, UB Kaiser, MB Lopes, J Bertherat",2022,"… To understand the clinical biology of these common yet often innocuous neoplasms, we review 
… The clinical biology of pituitary adenomas, and particularly their benign nature, stands in …",https://academic.oup.com/edrv/article-abstract/43/6/1003/6565598,189
Apolipoproteins in vascular biology and atherosclerotic disease,"A Mehta, MD Shapiro",2022,"Apolipoproteins are important structural components of plasma lipoproteins that influence 
vascular biology and atherosclerotic disease pathophysiology by regulating lipoprotein …",https://www.nature.com/articles/s41569-021-00613-5,177
Raman spectroscopy for chemical biology research,"K Dodo, K Fujita, M Sodeoka",2022,"In chemical biology research, various fluorescent probes have been developed and used to 
visualize target proteins or molecules in living cells and tissues, yet there are limitations to …",https://pubs.acs.org/doi/abs/10.1021/jacs.2c05359,166
Super-resolution microscopy for structural cell biology,"S Liu, P Hoess, J Ries",2022,"… inside cells and thus have great potential to complement structural biology techniques such 
as electron microscopy for structural cell biology. In this review, we introduce the different …",https://www.annualreviews.org/content/journals/10.1146/annurev-biophys-102521-112912,145
A complex systems approach to aging biology,"AA Cohen, L Ferrucci, T Fülöp, D Gravel, N Hao",2022,"Having made substantial progress understanding molecules, cells, genes and pathways, 
aging biology research is now moving toward integration of these parts, attempting to …",https://www.nature.com/articles/s43587-022-00252-6,137
Versatile polyphenolic platforms in regulating cell biology,"H Cao, L Yang, R Tian, H Wu, Z Gu, Y Li",2022,"… of material and cell biology, especially the diverse … cell biology, further targeting different 
biomedical applications. As is well-documented, these materials are able to affect cell biology …",https://pubs.rsc.org/en/content/articlehtml/2022/cs/d1cs01165k,116
[BOOK][B] An introduction to conservation biology,A Sher,2022,"… Conservation biology is a scientific discipline theoretical biology by based on biological … 
biology also incorporates ideas and expertise from a broad range of fields outside of biology …",https://books.google.com/books?hl=en&lr=&id=y_hgEAAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=hqon4IryBD&sig=I9kJXzPAS0mPephw13YSSDcRiD8,96
[PDF][PDF] MASTER OF BIOLOGY,TJ Robinson,2022,"Burbot have a circumpolar range spanning from rivers of Alaska to lentic systems in Minnesota. 
Although Burbot population dynamics have been studied, their movement dynamics …",https://www.bemidjistate.edu/directory/wp-content/uploads/sites/16/2023/02/Thesis.-2022-Robinson-T.J..pdf,94
The biology and evolution of spider venoms,"T Lüddecke, V Herzig, BM Von Reumont",2022,"Spiders are diverse, predatory arthropods that have inhabited Earth for around 400 million 
years. They are well known for their complex venom systems that are used to overpower their …",https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12793,81
Biology and medicine in the landscape of quantum advantages,"BA Cordier, NPD Sawaya",2022,"… potential for applications in biology and medicine, spanning … to aid researchers in biology 
and medicine pursuing the … survey of the intersection of biology and medicine with the …",https://royalsocietypublishing.org/doi/abs/10.1098/rsif.2022.0541,73
"Ferroptosis: mechanisms, biology and role in disease","X Jiang, BR Stockwell, M Conrad",2021,"The research field of ferroptosis has seen exponential growth over the past few years, since 
the term was coined in 2012. This unique modality of cell death, driven by iron-dependent …",https://www.nature.com/articles/s41580-020-00324-8,4216
[HTML][HTML] Coronavirus biology and replication: implications for SARS-CoV-2,"P V'kovski, A Kratzel, S Steiner, H Stalder",2021,"… relate that to our knowledge of coronavirus biology. The elucidation of similarities and differences 
… In this Review, we discuss key aspects of coronavirus biology and their implications for …",https://www.nature.com/articles/s41579-020-00468-6/1000,3549
Primate conservation biology,"G Cowlishaw, R Dunbar",2021,"… biology the lessons we learn. Our approach is as follows. In the first part, we review the essential 
background of primate biology. … , we then review primate population biology (chapter 6). …",https://books.google.com/books?hl=en&lr=&id=Yho-EAAAQBAJ&oi=fnd&pg=PR7&dq=biology&ots=RIUPd6v-7G&sig=wZdjRb_-JJPoz6agHORJAnDQtpI,888
"[BOOK][B] Molecular biology of cancer: mechanisms, targets, and therapeutics",L Pecorino,2021,"… and optimistic account of cancer biology for undergraduate and … The new edition draws on 
the latest research in cancer biology… Molecular Biology of Cancer is available for students and …",https://books.google.com/books?hl=en&lr=&id=n8owEAAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=X89nCA2-yI&sig=Hv3GzMQE9vj3uV2Gwunge3Yu7h0,695
TGFβ biology in cancer progression and immunotherapy,"R Derynck, SJ Turley, RJ Akhurst",2021,"… Fundamentals of TGFβ biology in cancer Herein, we introduce some fundamentals of 
TGFβ biology that are more extensively summarized elsewhere 65 . The mammalian genome …",https://www.nature.com/articles/s41571-020-0403-1,689
Circulating tumor cells: biology and clinical significance,"D Lin, L Shen, M Luo, K Zhang, J Li, Q Yang",2021,"… In this review, the biology of CTCs, as well as their interaction with the blood 
microenvironment, is fully reviewed. In addition, the growing number of highly sophisticated CTC …",https://www.nature.com/articles/s41392-021-00817-8,665
Interleukins in cancer: from biology to therapy,"D Briukhovetska, J Dörr, S Endres, P Libby",2021,"Interleukins and associated cytokines serve as the means of communication for innate and 
adaptive immune cells as well as non-immune cells and tissues. Thus, interleukins have a …",https://www.nature.com/articles/s41568-021-00363-z,604
Advances in bladder cancer biology and therapy,"L Tran, JF Xiao, N Agarwal, JE Duex",2021,"The field of research in bladder cancer has seen significant advances in recent years. Next-generation 
sequencing has identified the genes most mutated in bladder cancer. This wealth …",https://www.nature.com/articles/s41568-020-00313-1,535
Structural biology in the clouds: the WeNMR-EOSC ecosystem,"RV Honorato, PI Koukos, B Jiménez",2021,"… that make up a valuable toolkit for structural biology researchers. One critical aspect aside 
from … Here we present an overview of the structural biology services provided via the WeNMR-…",https://www.frontiersin.org/articles/10.3389/fmolb.2021.729513/full,529
Copper biology,"T Tsang, CI Davis, DC Brady",2021,"… In this Primer we introduce both the ‘traditional’ and emerging roles for Cu in biology and … 
In recent years, our understanding of Cu biology has expanded beyond its traditional role as a …",https://www.cell.com/current-biology/fulltext/S0960-9822(21)00427-9,228
"Applications, challenges, and needs for employing synthetic biology beyond the lab","SM Brooks, HS Alper",2021,"… Synthetic biology and its applications hold great promise for addressing global humanitarian 
needs … biology is undergoing a shift in paradigm from utilizing biology to deploying biology. …",https://www.nature.com/articles/s41467-021-21740-0,202
Molecular biology of Hodgkin lymphoma,"MA Weniger, R Küppers",2021,"… more than 150 years ago [4], its biology and pathogenesis have been enigmatic for a long 
time. … However, major advances in our understanding of HL biology were made in the last few …",https://www.nature.com/articles/s41375-021-01204-6,197
The biology of burnout: Causes and consequences,"A Bayes, G Tavella, G Parker",2021,"Objectives Burnout is a state of exhaustion resulting from prolonged and excessive 
workplace stress. We sought to examine biological underpinnings of burnout, focussing on …",https://www.tandfonline.com/doi/abs/10.1080/15622975.2021.1907713,182
"Magnetic nanoparticles in biology and medicine: past, present, and future trends","DD Stueber, J Villanova, I Aponte, Z Xiao, VL Colvin",2021,"The use of magnetism in medicine has changed dramatically since its first application by the 
ancient Greeks in 624 BC. Now, by leveraging magnetic nanoparticles, investigators have …",https://www.mdpi.com/1999-4923/13/7/943,175
Raman spectroscopy in cell biology and microbiology,G Pezzotti,2021,"The Raman spectrum of living cells and microorganisms contains highly specific fingerprint‐like 
signatures, useful in unequivocally identifying different species and interpreting …",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jrs.6204,165
Chemistry and biology of ferritin,"M Plays, S Müller, R Rodriguez",2021,"Iron is an essential element required by cells and has been described as a key player in 
ferroptosis. Ferritin operates as a fundamental iron storage protein in cells forming multimeric …",https://academic.oup.com/metallomics/article-abstract/13/5/mfab021/6244244,162
Roadmap: proton therapy physics and biology,"H Paganetti, C Beltran, S Both, L Dong",2021,"… As such, this roadmap focusses on physics and biology … of Physics in Medicine and Biology. 
Accordingly, except when … of PT from the physics and biology aspects, in which we have …",https://iopscience.iop.org/article/10.1088/1361-6560/abcd16/meta,154
Cell biology of canonical Wnt signaling,"LV Albrecht, N Tejeda",2021,"Wnt signaling has multiple functions beyond the transcriptional effects of β-catenin stabilization. 
We review recent investigations that uncover new cell physiological effects through the …",https://www.annualreviews.org/content/journals/10.1146/annurev-cellbio-120319-023657,132
The cell biology of Parkinson's disease,"N Panicker, P Ge, VL Dawson, TM Dawson",2021,"Parkinson’s disease (PD) is a progressive neurodegenerative disorder resulting from the 
death of dopamine neurons in the substantia nigra pars compacta. Our understanding of PD …",https://rupress.org/jcb/article-abstract/220/4/e202012095/211906,131
Is cancer biology different in older patients?,"Y Van Herck, A Feyaerts, S Alibhai",2021,"… , we explored the reported differences in tumour biology according to age in five major cancer 
… More research is needed and might lead to a better understanding of the biology of ageing …",https://www.thelancet.com/journals/lanhl/article/PIIS2666-7568(21)00179-3/fulltext,125
"The role of metal ions in biology, biochemistry and medicine",M Moustakas,2021,"Materials | Free Full-Text | The Role of Metal Ions in Biology, Biochemistry and Medicine … 
The Role of Metal Ions in Biology, Biochemistry and Medicine … In the present work, the 10 …",https://www.mdpi.com/1996-1944/14/3/549,119
Reproducibility in systems biology modelling,"K Tiwari, S Kananathan, MG Roberts",2021,"… of the published systems biology models and hence the … to enhance the ability to reproduce 
systems biology models (Box 1). … editors to assess each systems biology model in a research …",https://www.embopress.org/doi/abs/10.15252/msb.20209982,117
The biology of human hair greying,"JDB O'Sullivan, C Nicu, M Picard, J Chéret",2021,"… Therefore, caution is advised when extrapolating concepts on the biology of greying … 
besides its obvious relevance for human melanocyte biology, also represents an under-appreciated …",https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12648,113
The chemistry and biology of fungal meroterpenoids (2009–2019),"M Jiang, Z Wu, L Liu, S Chen",2021,"Fungal meroterpenoids are secondary metabolites from mixed terpene-biosynthetic origins. 
Their intriguing chemical structural diversification and complexity, potential bioactivities, and …",https://pubs.rsc.org/en/content/articlehtml/2021/xx/d0ob02162h,113
[PDF][PDF] JOURNAL OF AGRICULTURE AND APPLIED BIOLOGY,"R Rai, P Khanal, P Chaudhary, R Dhital",2021,"Abstract Evaluation of the genetic variability, heritability and genetic advance of traits is an 
essential task in any plant improvement program. Twenty maize genotypes were replicated …",https://www.researchgate.net/profile/Prakash-Khanal-6/publication/354401330_Genetic_variability_heritability_and_genetic_advance_for_growth_yield_and_yield_related_traits_in_maize_genotypes/links/6136e82a38818c2eaf8847ba/Genetic-variability-heritability-and-genetic-advance-for-growth-yield-and-yield-related-traits-in-maize-genotypes.pdf,19
"The biology, function, and biomedical applications of exosomes","R Kalluri, VS LeBleu",2020,"BACKGROUND All cells, prokaryotes and eukaryotes, release extracellular vesicles (EVs) 
as part of their normal physiology and during acquired abnormalities. EVs can be broadly …",https://www.science.org/doi/abs/10.1126/science.aau6977,7812
[BOOK][B] Life in moving fluids: the physical biology of flow-revised and expanded second edition,S Vogel,2020,"Both a landmark text and reference book, Steven Vogel's Life in Moving Fluids has also played 
a catalytic role in research involving the applications of fluid mechanics to biology. In this …",https://books.google.com/books?hl=en&lr=&id=VOfaDwAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=S76FBlGlkv&sig=m7CpK08rlWYDtWI-Zqir3FmLKwg,4612
Gold nanoparticles for biology and medicine,"DA Giljohann, DS Seferos, WL Daniel",2020,"Gold nanoparticles (AuNPs) have a rich history in chemistry, dating back to ancient R beg 
glasses f an ov or decor er 150 y ati ears ago ve purpose oman times w s. The modern here …",https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9780429200151-4&type=chapterpdf,2936
[BOOK][B] The Principles of Biology: Volume 1,H Spencer,2020,"… direction of Biology than in any other; and had this work been one dealing with Biology at 
large… But it is a work on the Principles of Biology; and to bring an exposition of these up to date, …",https://books.google.com/books?hl=en&lr=&id=UYH3DwAAQBAJ&oi=fnd&pg=PP2&dq=biology&ots=bQwCx6_RTy&sig=XFqa_O5_TlkoMmZISB0vJEBgh-M,1958
Human organoids: model systems for human biology and medicine,"J Kim, BK Koo, JA Knoblich",2020,"The historical reliance of biological research on the use of animal models has sometimes 
made it challenging to address questions that are specific to the understanding of human …",https://www.nature.com/articles/s41580-020-0259-3,1849
The cell biology of mitochondrial membrane dynamics,"M Giacomello, A Pyakurel, C Glytsou",2020,"Owing to their ability to efficiently generate ATP required to sustain normal cell function, 
mitochondria are often considered the ‘powerhouses of the cell’. However, our understanding of …",https://www.nature.com/articles/s41580-020-0210-7,1216
Diversity and biology of cancer-associated fibroblasts,"G Biffi, DA Tuveson",2020,"… models to study CAF biology and the implementation of single-… of the research on CAF biology, 
highlighting the most recent … malignant states will advance our knowledge of CAF biology. …",https://journals.physiology.org/doi/abs/10.1152/physrev.00048.2019?rfr_dat=cr_pub%20%200pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Physiological_Reviews_TrendMD_0,850
The exposome and health: Where chemistry meets biology,"R Vermeulen, EL Schymanski, AL Barabási, GW Miller",2020,"… A basic tenet of biology is that the phenotype results from a combination of genes and … For 
these external forces to have an effect on health, they must alter our biology, suggesting that a …",https://www.science.org/doi/abs/10.1126/science.aay3164,782
"Orgasm, generation, and the politics of reproductive biology",T Laqueur,2020,"… Neither advances in reproductive biology nor anatomical discoveries seem sufficient to … 
Writers from the eighteenth century onward sought in the facts of biology a justification for cultural …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003060338-25/orgasm-generation-politics-reproductive-biology-thomas-laqueur,768
"Monkeypox virus in Nigeria: infection biology, epidemiology, and evolution","E Alakunle, U Moens, G Nchinda, MI Okeke",2020,"… Although the infection biology and epidemiology of MPXV have been widely studied and … 
the current state of knowledge concerning the infection biology, epidemiology, and evolution of …",https://www.mdpi.com/1999-4915/12/11/1257,765
"Breast cancer: Biology, biomarkers, and treatments","K Barzaman, J Karami, Z Zarei, A Hosseinzadeh",2020,"During the past recent years, various therapies emerged in the era of breast cancer. Breast 
cancer is a heterogeneous disease in which genetic and environmental factors are involved. …",https://www.sciencedirect.com/science/article/pii/S1567576920304768,742
Physical principles underlying the complex biology of intracellular phase transitions,"JM Choi, AS Holehouse",2020,"Many biomolecular condensates appear to form via spontaneous or driven processes that 
have the hallmarks of intracellular phase transitions. This suggests that a common underlying …",https://www.annualreviews.org/content/journals/10.1146/annurev-biophys-121219-081629,709
Natural killer cells in cancer biology and therapy,"SY Wu, T Fu, YZ Jiang, ZM Shao",2020,"The tumor microenvironment is highly complex, and immune escape is currently considered 
an important hallmark of cancer, largely contributing to tumor progression and metastasis. …",https://link.springer.com/article/10.1186/s12943-020-01238-x,682
[BOOK][B] The liver: biology and pathobiology,"IM Arias, HJ Alter, JL Boyer, DE Cohen, DA Shafritz",2020,"… leading researchers examine the cell biology of the liver, the … to reflect new discoveries 
in biology and their influence on … genomic analyses, the molecular biology of hepatitis, drug …",https://books.google.com/books?hl=en&lr=&id=80bLEAAAQBAJ&oi=fnd&pg=PA14&dq=biology&ots=6BMBtKDcfZ&sig=TgjS7f7oWTo4DpjQ2MJAAkIBD4c,667
[BOOK][B] The biology of the cycads,"K Norstog, TJ Nicholls",2020,"Thoroughly referenced and generously illustrated, this book discusses all aspects of cycadology. A small group of ancient palmlike seed plants noted for their beautiful foliage …",https://www.degruyter.com/document/doi/10.7591/9781501737329/html,628
SuperPlots: Communicating reproducibility and variability in cell biology,"SJ Lord, KB Velle, RD Mullins, LK Fritz",2020,"P values and error bars help readers infer whether a reported difference would likely recur, 
with the sample size n used for statistical tests representing biological replicates, …",https://rupress.org/jcb/article/151717/SuperPlots-Communicating-reproducibility-and,522
"[BOOK][B] Charge transfer in physics, chemistry and biology: physical mechanisms of elementary processes and an introduction to the theory",AM Kuznetrsov,2020,"… Subsequently the theory of the elementary chemical processes in condensed media 
developed very fast and many results were obtained, the significance of which was not …",https://www.taylorfrancis.com/books/mono/10.1201/9781003077244/charge-transfer-physics-chemistry-biology-kuznetrsov,481
Quantum biology revisited,"J Cao, RJ Cogdell, DF Coker, HG Duan, J Hauer",2020,"Photosynthesis is a highly optimized process from which valuable lessons can be learned 
about the operating principles in nature. Its primary steps involve energy transport operating …",https://www.science.org/doi/abs/10.1126/sciadv.aaz4888,450
Teleological notions in biology,"C Allen, JP Neal",2020,"The manifest appearance of function and purpose in living systems is responsible for the 
prevalence of apparently teleological explanations of organismic structure and behavior in …",https://philpapers.org/rec/ALLTNI-5,182
Nuclear morphology and the biology of cancer cells,EG Fischer,2020,"… Over the past 20–30 years, our knowledge about cancer biology has expanded dramatically… 
It also explores how microscopically visible nuclear abnormalities impact the biology of …",https://karger.com/acy/article/64/6/511/9923,167
The amyloid phenomenon and its significance in biology and medicine,"CM Dobson, TPJ Knowles",2020,"The misfolding of proteins is now recognized to be the origin of a large number of medical 
disorders. One particularly important group of such disorders is associated with the …",https://cshperspectives.cshlp.org/content/12/2/a033878.short,156
"Predictive biology: modelling, understanding and harnessing microbial complexity","AJ Lopatkin, JJ Collins",2020,"… is the next great chapter in synthetic and systems biology, … of diverse expertise across 
biology, physics and engineering, … In this Review, we discuss key areas of predictive biology …",https://www.nature.com/articles/s41579-020-0372-5,147
Molecular biology of coronaviruses: current knowledge,"IM Artika, AK Dewantari, A Wiyatno",2020,"The emergence of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) late 
December 2019 in Wuhan, China, marked the third introduction of a highly pathogenic …",https://www.cell.com/heliyon/fulltext/S2405-8440(20)31586-3,133
Recent insights into the biology of pancreatic cancer,"W Yao, A Maitra, H Ying",2020,"… are the defining features of PDAC biology that dictate the dismal natural history. Recent … 
, which further sheds light on the complex biology and the observed treatment recalcitrance. …",https://www.thelancet.com/article/S2352-3964(20)30030-X/fulltext,132
[HTML][HTML] CaMV35S promoter–A plant biology and biotechnology workhorse in the era of synthetic biology,"SC Amack, MS Antunes",2020,"… for synthetic biology approaches in plants and leverage plant biology and biotechnology … 
biology community and universal acceptance thereafter. By doing so, future synthetic biology …",https://www.sciencedirect.com/science/article/pii/S2214662820300608,127
Fourteen recommendations to create a more inclusive environment for LGBTQ+ individuals in academic biology,"KM Cooper, AJJ Auerbach, JD Bader",2020,"… of guidelines to make biology learning environments more … biologists, biology educators, 
and biology education researchers … biology learning spaces and the broader academic biology …",https://www.lifescied.org/doi/abs/10.1187/cbe.20-04-0062,124
The biology of physiological health,JS Ayres,2020,"The ability to maintain health, or recover to a healthy state after disease, is an active 
process involving distinct adaptation mechanisms coordinating interactions between all …",https://www.cell.com/cell/fulltext/S0092-8674(20)30329-9,112
[BOOK][B] Game theory in biology: concepts and frontiers,"JM McNamara, O Leimar",2020,"… of the applications of game theory in biology; our focus is on game-… biology is important, 
incorporating central topics in life-history theory, ecology, and general evolutionary biology …",https://books.google.com/books?hl=en&lr=&id=UZr9DwAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=vyd8SaSmwo&sig=38knt0nsTENOND9M3fbol6oAH30,107
[BOOK][B] Biology: Concepts and Investigations (ONLINE ONLY!!),M Hoefnagels,2020,"Through the Texas Core Curriculum, students will gain a foundation of knowledge of human 
cultures and the physical and natural world, develop principles of personal and social …",https://rangercollege.simplesyllabus.com/api2/doc-pdf/qg1j2i6hy/Spring-2024-%28232S%29-BIOL-1407-C64-.pdf,89
Biology,K Wilson,2020,"Last night, someone from my hometown posted on Facebook to say that our eighth grade 
biology teacher, Mr. Reynolds, had died. There was a link to the local funeral home’s memorial …",https://muse.jhu.edu/pub/236/article/746332/summary,15
[BOOK][B] The struggle for existence: a classic of mathematical biology and ecology,GF Gause,2019,"This work by Russian microbiologist GF Gause broke ground for all subsequent research in 
the biomathematics of populations. Gause's work is essential in giving modern science its …",https://books.google.com/books?hl=en&lr=&id=a_6zDwAAQBAJ&oi=fnd&pg=PA1&dq=biology&ots=flRn-8MXZB&sig=8ajuy_bpE8Dy9Alvm7fCaTRJvh0,6273
