title,authors,year,description,url,citations,clean_title,type,cluster,word_count,char_count,category,domain,publisher,path,query_params,doi,extension
A model of the data economy,"M Farboodi, L Veldkamp",2021,"In a data economy, transactions of goods and services generate information, which is stored, 
traded and depreciates. How are the economics of this economy different from traditional …",https://www.aeaweb.org/conference/2023/program/paper/dSffsn5D,206,model data,PDF,3,2,9,economy,aeaweb.org,American Economic Association,/conference/2023/program/paper/dSffsn5D,{},,
"Why the world economy needs, but will not get, more globalization in the post-COVID-19 decade","L Ciravegna, S Michailova",2021,"Contractor argues that the coronavirus outbreak only had temporary effects on the global 
economy, and that post COVID-19 globalization will resume. We posit that the pandemic will …",https://pmc.ncbi.nlm.nih.gov/articles/PMC8419373/,197,world needs get globalization postcovid19 decade,,8,6,43,economy,pmc.ncbi.nlm.nih.gov,PubMed Central,/articles/PMC8419373/,{},,
The Free Economy and the Strong State1,A Gamble,2021,"During the last ten years the long post-war period of expansion and stability has come to an 
end. We are living through a crisis that should never have happened, the crisis that …",https://bristoluniversitypressdigital.com/display/book/9781529217124/ch005.xml,176,free strong state1,,3,3,16,economy,bristoluniversitypressdigital.com,Bristol University Press,/display/book/9781529217124/ch005.xml,{},,xml
"A perspective of COVID 19 impact on global economy, energy and environment","SS Priya, E Cuce, K Sudhakar",2021,"COVID-19 or novel coronavirus is not only an international emergency for public health but 
also has significant consequences on energy, economy, and environment. Although much of …",https://www.tandfonline.com/doi/abs/10.1080/19397038.2021.1964634,155,perspective covid 19 impact global energy environment,,5,7,47,economy,tandfonline.com,Taylor & Francis Online,/doi/abs/10.1080/19397038.2021.1964634,{},10.1080/19397038,1964634
Operationalizing the net-negative carbon economy,"J Bednar, M Obersteiner, A Baklanov, M Thomson",2021,"The remaining carbon budget for limiting global warming to 1.5 degrees Celsius will probably 
be exhausted within this decade 1 , 2 . Carbon debt 3 generated thereafter will need to be …",https://www.nature.com/articles/s41586-021-03723-9,151,operationalizing netnegative carbon,,3,3,33,economy,nature.com,Nature Publishing Group,/articles/s41586-021-03723-9,{},,
The feeling economy,"RT Rust, MH Huang, RT Rust, MH Huang",2021,"As AI assumes an increasing number of thinking tasks, eventually including even intuitive 
thinking tasks, humans will find that their highest and best use involves emotion, empathy, and …",https://link.springer.com/chapter/10.1007/978-3-030-52977-2_4,105,feeling,BOOK,3,1,7,economy,link.springer.com,Springer,/chapter/10.1007/978-3-030-52977-2_4,{},10.1007/978,
The global economy in technological transformation conditions: A review of modern trends,"V Matyushok, V Vera Krasavina, A Berezin",2021,"… in the world economy and investigates the effect of these key trends for the economy and 
society. … the emergence of new trends in the world economy are presented, and these trendsL …",https://hrcak.srce.hr/file/434637,103,global technological transformation conditions review modern trends,PDF,0,7,61,economy,hrcak.srce.hr,HRČAK Portal of Croatian Scientific Journals,/file/434637,{},,
The world according to China,EC Economy,2021,"… Economy to be identified as Author of this Work has been asserted in accordance with … 
economy were an historical aberration. The current period, however, in which China’s economy …",https://books.google.com/books?hl=en&lr=&id=fc5KEAAAQBAJ&oi=fnd&pg=PT7&dq=economy&ots=ycmUy3hehz&sig=LR0iIol7wYK9F64X6dYFS0D2N7I,100,world according china,BOOK,8,3,19,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['fc5KEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT7'], 'dq': ['economy'], 'ots': ['ycmUy3hehz'], 'sig': ['LR0iIol7wYK9F64X6dYFS0D2N7I']}",,
A circular economy is about the economy,K Webster,2021,"… A circular economy must be in service to the economy as a whole, a complex task. … economy 
initiatives might increase the extractive tendency evident in the financial/rentier * economy …",https://link.springer.com/article/10.1007/s43615-021-00034-z,84,circular,,3,1,8,economy,link.springer.com,Springer,/article/10.1007/s43615-021-00034-z,{},10.1007/s43615,
The political economy of attention,"MA Pedersen, K Albris, N Seaver",2021,"… that the attention economy would eventually overshadow the conventional economy, making 
… A narrow focus on “attention economy” could benefit from being reformulated as a broader …",https://www.annualreviews.org/content/journals/10.1146/annurev-anthro-101819-110356,70,political attention,,2,2,18,economy,annualreviews.org,Annual Reviews,/content/journals/10.1146/annurev-anthro-101819-110356,{},10.1146/annurev-anthro-101819,
After copyright: Pwning NFTs in a clout economy,BL Frye,2021,"Copyright is a means to an end, not an end in itself. We created copyright because we wanted 
to encourage the creation and distribution of works of authorship, not because we wanted …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/cjla45&section=19,54,copyright pwning nfts clout,,3,4,24,economy,heinonline.org,HeinOnline,/hol-cgi-bin/get_pdf.cgi,"{'handle': ['hein.journals/cjla45'], 'section': ['19']}",,cgi
The political economy of deep integration,"G Maggi, R Ossa",2021,"Modern trade agreements no longer emphasize basic trade liberalization but instead focus 
on international policy coordination in a much broader sense. In this review we introduce the …",https://www.annualreviews.org/content/journals/10.1146/annurev-economics-121020-032425,53,political deep integration,,2,3,24,economy,annualreviews.org,Annual Reviews,/content/journals/10.1146/annurev-economics-121020-032425,{},10.1146/annurev-economics-121020,
The Role Of Women In Improving The Family Economy,"A Zunaidi, FL Maghfiroh",2021,"The purpose of this study was to determine the role of women in improving the family 
economy, especially women who work as shallot retail workers. This study uses a qualitative …",https://journal.trunojoyo.ac.id/dinar/article/view/10581,53,role women improving family,,3,4,24,economy,journal.trunojoyo.ac.id,University of Trunojoyo Madura,/dinar/article/view/10581,{},,
China's blue economy: a state project of modernisation,"M Fabinyi, A Wu, S Lau, T Mallory",2021,"The blue economy is a globally emerging concept for ocean … visions of the blue economy in 
specific regions diverge … article assesses how the blue economy has been conceptualised in …",https://journals.sagepub.com/doi/abs/10.1177/1070496521995872,49,chinas blue state project modernisation,,3,5,35,economy,journals.sagepub.com,SAGE Publications,/doi/abs/10.1177/1070496521995872,{},10.1177/1070496521995872,
The role of agriculture in the economy of modern Khakassia,NM Chebokchinova,2021,"… complex and differs from other branches of the economy in the seasonal nature of production, 
… economy is developing at a high rate and plays an important role in the life of the region. …",https://iopscience.iop.org/article/10.1088/1755-1315/677/2/022046/meta,46,role agriculture modern khakassia,,0,4,30,economy,iopscience.iop.org,IOP Science,/article/10.1088/1755-1315/677/2/022046/meta,{},10.1088/1755,
Digital economy,"GI Abdrakhmanova, KO Vishnevsky, LM Gokhberg",2021,"Digital Economy … DIGITAL ECONOMY … This pocket data book contains the most recent 
statistical data representing the level and dynamics of the digital economy development in …",https://elibrary.ru/item.asp?id=46498727,45,digital,,0,1,7,economy,elibrary.ru,Russian Scientific Electronic Library,/item.asp,{'id': ['46498727']},,asp
The role of investment and modernization in the development of the uzbek economy,"NI Niyozovna, OO Azimov",2021,"… economy, its importance. The level of development of any country, that is, the development 
and growth of the economy, … of the economy, development of priority sectors of the economy, …",https://www.researchgate.net/profile/Iroda-Niyozova/publication/356618138_THE_ROLE_OF_INVESTMENT_AND_MODERNIZATION_IN_THE_DEVELOPMENT_OF_THE_UZBEK_ECONOMY/links/61a5772071a23a0084c9a20c/THE-ROLE-OF-INVESTMENT-AND-MODERNIZATION-IN-THE-DEVELOPMENT-OF-THE-UZBEK-ECONOMY.pdf,41,role investment modernization development uzbek,PDF,9,5,43,economy,researchgate.net,ResearchGate,/profile/Iroda-Niyozova/publication/356618138_THE_ROLE_OF_INVESTMENT_AND_MODERNIZATION_IN_THE_DEVELOPMENT_OF_THE_UZBEK_ECONOMY/links/61a5772071a23a0084c9a20c/THE-ROLE-OF-INVESTMENT-AND-MODERNIZATION-IN-THE-DEVELOPMENT-OF-THE-UZBEK-ECONOMY.pdf,{},,pdf
Modern content and concept of digital economy,"KA Urinovich, RO Qobiljonovich",2021,"… the digital economy in a large region in a pandemic. The key technologies of the digital 
economy of a … The economic efficiency of using these systems in the region's economy has been …",https://www.indianjournals.com/ijor.aspx?target=ijor:aca&volume=11&issue=11&article=141,39,modern content concept digital,,0,4,27,economy,indianjournals.com,Indian Journals,/ijor.aspx,"{'target': ['ijor:aca'], 'volume': ['11'], 'issue': ['11'], 'article': ['141']}",,aspx
"Theory, history, and political economy",S Gailmard,2021,"… My primary argument is that historical political economy (HPE) … I conclude that political 
economy can best contribute to … history can contribute to political economy by helping us discover …",https://www.ocf.berkeley.edu/~gailmard/hpe-theory.pdf,33,theory history political,PDF,2,3,22,economy,ocf.berkeley.edu,"Open Computing Facility, UC Berkeley",/~gailmard/hpe-theory.pdf,{},,pdf
Targets for a circular economy,P Morseletto,2020,"… economy targets in a systematic way. To bridge this gap, this study examines which targets 
can facilitate the transition towards a circular economy… a more circular economy. A framework …",https://www.sciencedirect.com/science/article/pii/S0921344919304598,1471,targets circular,HTML,3,2,15,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S0921344919304598,{},,
What do platforms do? Understanding the gig economy,"S Vallas, JB Schor",2020,"The rapid growth of the platform economy has provoked scholarly discussion of its consequences 
for the nature of work and employment. We identify four major themes in the literature …",https://www.annualreviews.org/content/journals/10.1146/annurev-soc-121919-054857,1356,platforms understanding gig,,3,3,25,economy,annualreviews.org,Annual Reviews,/content/journals/10.1146/annurev-soc-121919-054857,{},10.1146/annurev-soc-121919,
A roadmap to the ammonia economy,"DR MacFarlane, PV Cherepanov, J Choi",2020,"… This ammonia-based economy will emerge through multiple generations of technology … 
We conclude with perspectives on the broader scale sustainability of an ammonia economy …",https://www.cell.com/joule/fulltext/S2542-4351(20)30173-2,1264,roadmap ammonia,,3,2,14,economy,cell.com,Cell Press,/joule/fulltext/S2542-4351(20)30173-2,{},,
Global political economy: Theory and practice,"TH Cohn, A Hira",2020,"Praised for its authoritative coverage, Global Political Economy places the study of IPE in 
broad theoretical context and has been updated to cover the rise of populism, Brexit, the …",https://www.taylorfrancis.com/books/mono/10.4324/9781003056881/global-political-economy-theodore-cohn-anil-hira,1005,global political theory practice,BOOK,5,4,29,economy,taylorfrancis.com,Taylor & Francis,/books/mono/10.4324/9781003056881/global-political-economy-theodore-cohn-anil-hira,{},10.4324/9781003056881/,
The gig economy,"J Woodcock, M Graham",2020,"… While ‘gigs’ have always existed across many sectors of the economy, the gig economy 
enabled by digital platforms is growing rapidly, and increasingly replacing nonplatform gig …",http://acdc2007.free.fr/woodcock2020.pdf,925,gig,BOOK,3,1,3,economy,acdc2007.free.fr,Autres chiffres du chômage,/woodcock2020.pdf,{},,pdf
The Japanese Economy,"T Ito, T Hoshi",2020,"The second edition of a comprehensive account of all the major aspects of the Japanese 
economy, substantially updated and expanded. This textbook offers a comprehensive, rigorous …",https://books.google.com/books?hl=en&lr=&id=7OfIDwAAQBAJ&oi=fnd&pg=PR7&dq=economy&ots=HEbNpFnrEQ&sig=VAOHMNre-uUSJkA_3v9rjNs3oyU,880,japanese,BOOK,3,1,8,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['7OfIDwAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR7'], 'dq': ['economy'], 'ots': ['HEbNpFnrEQ'], 'sig': ['VAOHMNre-uUSJkA_3v9rjNs3oyU']}",,
Political economy of peer production,BJ Birkinbine,2020,"Understanding the political economy of peer production requires consideration of at least 
two interrelated factors: the economic factors that enabled the rise of peer production and the …",https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119537151.ch3,793,political peer production,,2,3,23,economy,onlinelibrary.wiley.com,Wiley Online Library,/doi/abs/10.1002/9781119537151.ch3,{},10.1002/9781119537151,ch3
Digital economy as a factor in the technological development of the mineral sector,VS Litvinenko,2020,"… global digital economy on the … economy. The underfunding of the information and computing 
infrastructure could be a significant challenge to the digital transformation of the economy. …",https://link.springer.com/article/10.1007/s11053-019-09568-4,687,digital factor technological development mineral sector,,9,6,50,economy,link.springer.com,Springer,/article/10.1007/s11053-019-09568-4,{},10.1007/s11053,
Impact of COVID-19's Pandemic on the Economy of Indonesia,"S Susilawati, R Falefi, A Purwoko",2020,"COVID-19 is a global health problem including in Indonesia. The increased case of COVID-19 
proved to have quite a significant impact on the economy globally which may have …",https://bircu-journal.com/index.php/birci/article/view/954,659,impact covid19s pandemic indonesia,,5,4,31,economy,bircu-journal.com,Budapest International Research and Critics University,/index.php/birci/article/view/954,{},,
The political economy of car dependence: A systems of provision approach,"G Mattioli, C Roberts, JK Steinberger",2020,"… ) the political economy of urban sprawl; iv) the provision of public transport; v) cultures of car 
consumption. Using the ‘systems of provision’ approach within political economy, we locate …",https://www.sciencedirect.com/science/article/pii/S2214629620300633,628,political car dependence systems provision approach,HTML,2,6,46,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S2214629620300633,{},,
Marx and Keynes: the limits of the mixed economy,P Mattick,2020,"… He was convinced that the capitalist economy could be regulated so as to function better 
with out losing its capitalist character. And if the national economy could be steered into definite…",https://books.google.com/books?hl=en&lr=&id=c8oyEAAAQBAJ&oi=fnd&pg=PA1&dq=economy&ots=J-bWAaYCQv&sig=mV5Jy0lgoojHyCkRI5d-p82S24s,599,marx keynes limits mixed,BOOK,3,4,21,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['c8oyEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA1'], 'dq': ['economy'], 'ots': ['J-bWAaYCQv'], 'sig': ['mV5Jy0lgoojHyCkRI5d-p82S24s']}",,
China's economy: What everyone needs to know®,AR Kroeber,2020,"… How does China’s size and population affect its economy? 16 How does China’s geography 
affect its economy? 18 How does China’s long historical experience affect its economy? 21 …",https://books.google.com/books?hl=en&lr=&id=LevqDwAAQBAJ&oi=fnd&pg=PP1&dq=economy&ots=Pv8U3HtI0A&sig=mzOJ1CYKkslgDHCT5vtAeS1S2A4,524,chinas everyone needs know,BOOK,3,4,23,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['LevqDwAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['economy'], 'ots': ['Pv8U3HtI0A'], 'sig': ['mzOJ1CYKkslgDHCT5vtAeS1S2A4']}",,
Political Economy of Socialism,B Horvat,2020,"This book is an exploration into the uncharted territory of social reality. It explores social 
relations and politics, presenting a critique of contemporary socioeconomic systems and …",https://books.google.com/books?hl=en&lr=&id=opgAEAAAQBAJ&oi=fnd&pg=PT8&dq=economy&ots=cDyb3q1tO8&sig=2ceH5aNwgEKRWDCca32Ieebw5Mg,502,political socialism,BOOK,2,2,18,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['opgAEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT8'], 'dq': ['economy'], 'ots': ['cDyb3q1tO8'], 'sig': ['2ceH5aNwgEKRWDCca32Ieebw5Mg']}",,
Virtualism: a new political economy,"JG Carrier, D Miller",2020,"We live in a time of economic virtualism, whereby our lives are made to conform to the virtual 
reality of economic thought. Globalization, transnational capitalism, structural adjustment …",https://books.google.com/books?hl=en&lr=&id=Ayn5DwAAQBAJ&oi=fnd&pg=PP1&dq=economy&ots=RCGzWymYza&sig=Y325qaFDFMnUPzZoScC8_DzFor0,487,virtualism new political,BOOK,9,3,22,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['Ayn5DwAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['economy'], 'ots': ['RCGzWymYza'], 'sig': ['Y325qaFDFMnUPzZoScC8_DzFor0']}",,
What coronavirus could mean for the global economy,P Carlsson,2020,"Having largely ignored Covid-19 as it spread across China, global financial markets reacted 
strongly last week when the virus spread to Europe and the Middle East, stoking fears of a …",https://sea-connect.com/assets/img/uploads/pdf/d64d0f0c50f2154a135870b035c89700.pdf,459,coronavirus could mean global,PDF,5,4,26,economy,sea-connect.com,Sea Connect,/assets/img/uploads/pdf/d64d0f0c50f2154a135870b035c89700.pdf,{},,pdf
Maddison‐style estimates of the evolution of the world economy: A new 2023 update,"J Bolt, JL Van Zanden",2020,"This paper surveys the literature on historical national accounting, discusses the importance 
of relative income benchmarks for, in particular, historical income estimates, and presents …",https://onlinelibrary.wiley.com/doi/abs/10.1111/joes.12618,455,maddisonstyle estimates evolution world new 2023 update,,4,7,49,economy,onlinelibrary.wiley.com,Wiley Online Library,/doi/abs/10.1111/joes.12618,{},,12618
Islam and the Prayer Economy: history and authority in a Malian town,B Soares,2020,"At a time when so-called fundamentalism has become the privileged analytical frame for 
understanding Muslim societies past and present, this study offers an alternative perspective on …",https://books.google.com/books?hl=en&lr=&id=taIxEAAAQBAJ&oi=fnd&pg=PR5&dq=economy&ots=Nl6GPo_1my&sig=4jcdBz7UP91xG8OYccDjTORuu3c,440,islam prayer history authority malian town,BOOK,3,6,37,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['taIxEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR5'], 'dq': ['economy'], 'ots': ['Nl6GPo_1my'], 'sig': ['4jcdBz7UP91xG8OYccDjTORuu3c']}",,
Sharing economy: A comprehensive literature review,M Hossain,2020,"… The objective of this study is to review the extant sharing economy (SE) literature. Applying 
… 219 articles on sharing economy. It explores the definitional dilemma, sharing economy as a …",https://www.sciencedirect.com/science/article/pii/S0278431920300220,432,sharing comprehensive literature review,,3,4,36,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S0278431920300220,{},,
How should we understand the digital economy in Asia? Critical assessment and research agenda,"K Li, DJ Kim, KR Lang, RJ Kauffman, M Naldi",2020,"… commentary regarding Asian digital economy activities, to do this effectively, we also discuss 
developments in the United States and Europe, and the global economy more generally. …",https://www.sciencedirect.com/science/article/pii/S1567422320300818,432,understand digital asia critical assessment research agenda,,6,7,53,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S1567422320300818,{},,
Laws of Chaos: A probabilistic approach to political economy,"E Farjoun, M Machover",2020,"… for the fact that the economy of human society produces … theoretical concept in political 
economy. This thesis is diametrically … We are convinced that political economy can advance only if …",https://books.google.com/books?hl=en&lr=&id=LdLMDwAAQBAJ&oi=fnd&pg=PA13&dq=economy&ots=-w_Idz_7QO&sig=VY0jwr2bVdiBwmY76h8h9M6xZ2s,411,laws chaos probabilistic approach political,BOOK,2,5,39,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['LdLMDwAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA13'], 'dq': ['economy'], 'ots': ['-w_Idz_7QO'], 'sig': ['VY0jwr2bVdiBwmY76h8h9M6xZ2s']}",,
Toward a political economy of development,RH Bates,2020,"… As South and Southeast Asia were drawn into the world economy in the late nineteenth … 
articles in this volume, the articles in this section illustrate ways of ""doing"" political economy. …",https://www.degruyter.com/document/doi/10.1525/9780520314054-011/pdf?licenseType=restricted,405,toward political development,BOOK,9,3,26,economy,degruyter.com,De Gruyter,/document/doi/10.1525/9780520314054-011/pdf,{'licenseType': ['restricted']},10.1525/9780520314054,
The asset economy,"L Adkins, M Cooper, M Konings",2020,"Rising inequality is the defining feature of our age. With the lion’s share of wealth growth 
going to the top, for a growing percentage of society a middle-class existence is out of reach. …",https://books.google.com/books?hl=en&lr=&id=otcBEAAAQBAJ&oi=fnd&pg=PP1&dq=economy&ots=Jx_OmXUElp&sig=2OsYrbltj4eRiobeZ95H9Tftrk8,391,asset,BOOK,3,1,5,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['otcBEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['economy'], 'ots': ['Jx_OmXUElp'], 'sig': ['2OsYrbltj4eRiobeZ95H9Tftrk8']}",,
The political economy of participatory economics,"M Albert, R Hahnel",2020,"… We seek an economy that distributes the duties and benefits … Traditional efforts to model a 
desirable economy often start … Nonetheless, to sensibly model a desirable economy, we still …",https://www.torrossa.com/gs/resourceProxy?an=5579606&publisher=FZO137,366,political participatory economics,,2,3,31,economy,torrossa.com,Torrossa Digital Library,/gs/resourceProxy,"{'an': ['5579606'], 'publisher': ['FZO137']}",,
Digital economy: Complexity and variety vs. rationality,"EG Popkova, BS Sergi",2020,"Formation of the digital economy is one of the most … Thus, the digital economy challenges the 
idea of humanism … The signs of formation of the digital economy are observed in all modern …",https://link.springer.com/content/pdf/10.1007/978-3-030-29586-8.pdf,293,digital complexity variety vs rationality,,0,5,37,economy,link.springer.com,Springer,/content/pdf/10.1007/978-3-030-29586-8.pdf,{},10.1007/978,pdf
Banks and the real economy: An assessment of the research,"AN Berger, P Molyneux, JOS Wilson",2020,"We review research on the effects of banks on the real economy, including, but not limited to 
articles in this Special Issue of the Journal of Corporate Finance. We focus primarily on US …",https://www.sciencedirect.com/science/article/pii/S0929119919307813,140,banks real assessment research,,6,4,27,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S0929119919307813,{},,
Global trends of the digital economy development,"AV Kolesnikov, LE Zernova",2020,"There is still no single harmonized concept of “Digital economy” in the world, and we are 
talking about digital technologies and their impact on the economies of countries. The aim of …",https://dialnet.unirioja.es/servlet/articulo?codigo=7827040,110,global trends digital development,,9,4,30,economy,dialnet.unirioja.es,Dialnet (University of La Rioja),/servlet/articulo,{'codigo': ['7827040']},,
"The information city, the new economy, and the network society",M Castells,2020,"The New Economy is based fundamentally on three … Economy is connected to the fact that 
competitiveness operates in a global environment. Thirdly performance in the New Economy …",https://www.taylorfrancis.com/chapters/edit/10.4324/9780203622278-17/information-city-new-economy-network-society-manuel-castells,108,information city new network society,,9,5,32,economy,taylorfrancis.com,Taylor & Francis,/chapters/edit/10.4324/9780203622278-17/information-city-new-economy-network-society-manuel-castells,{},10.4324/9780203622278,
Environment and economy,MS Cato,2020,"Nothing is more important to our world than finding a more comfortable relationship between 
the economy and the environment. While issues such as species loss, nitrate pollution, …",https://www.taylorfrancis.com/books/mono/10.4324/9780429060656/environment-economy-molly-scott-cato,94,environment,BOOK,5,1,11,economy,taylorfrancis.com,Taylor & Francis,/books/mono/10.4324/9780429060656/environment-economy-molly-scott-cato,{},10.4324/9780429060656/,
The concept of digitalization and its impact on the modern economy,"AU Mentsiev, MV Engel, AM Tsamaev",2020,"… of digital technologies on the economy, it is important to develop an understanding of digital 
economy. Don Tapscott first introduced the concept of ‘Digital Economy’ as creating and …",https://www.atlantis-press.com/proceedings/iscfec-20/125936542,72,concept digitalization impact modern,,0,4,33,economy,atlantis-press.com,Atlantis Press,/proceedings/iscfec-20/125936542,{},,
"21 Protecting people now, helping the economy rebound later",J Furman,2020,"The coronavirus is a shock to the economy the likes of which … but likely much else throughout 
the economy given the extreme … costs now and help ensure the economy is in a position to …",https://itsr.ir/Content/upload/O79CB-COVIDEconomicCrisis.pdf#page=198,66,21 protecting people helping rebound later,PDF,3,6,37,economy,itsr.ir,طرح آمایش سرزمین صنعتی، معدنی و تجاری,/Content/upload/O79CB-COVIDEconomicCrisis.pdf,{},,pdf
The Concept of Digital Economy in Modern Life and Its Application to Life,"RDJ UGLI, KAM UGLI",2020,"… economy phenomenon in the world today, however, there are many definitions of it. Based on 
the use of the results of the analysis of processes in the digital economy … digital economy is …",https://www.neliti.com/publications/336864/the-concept-of-digital-economy-in-modern-life-and-its-application-to-life,65,concept digital modern life application life,,0,6,39,economy,neliti.com,Neliti (Indonesian Research Repository),/publications/336864/the-concept-of-digital-economy-in-modern-life-and-its-application-to-life,{},,
The coronavirus pandemic and Europe's undeclared economy: Impacts and a policy proposal,"CC Williams, A Kayaoglu",2020,"… enterprises and workers in the undeclared economy, and a possible government policy … 
undeclared enterprises and workers into the declared economy and onto the radar of state …",https://sciendo.com/article/10.2478/jeb-2020-0007,60,coronavirus pandemic europes undeclared impacts policy proposal,,3,7,57,economy,sciendo.com,Sciendo (De Gruyter),/article/10.2478/jeb-2020-0007,{},10.2478/jeb-2020,
Changes and trends in the development of the world economy,"MC Profiroiu, CV Radulescu, S Burlacu",2020,"Global challenges such as climate change, population growth, the spread of disease, global 
food security, the supply of fossil fuels and raw materials require sustainable solutions, …",https://ibn.idsi.md/vizualizare_articol/115161,49,changes trends development world,,8,4,29,economy,ibn.idsi.md,Instrument Bibliometric National,/vizualizare_articol/115161,{},,
Structural changes in the rural economy,"L Sitdikova, F Mukhametgalieva",2020,"The relevance of the topic is due to the need to study features of the rural economic 
development in the current social and economic environment. The aim of the article is to develop …",https://www.bio-conferences.org/articles/bioconf/abs/2020/11/bioconf_fies-20_00115/bioconf_fies-20_00115.html,37,structural changes rural,,3,3,22,economy,bio-conferences.org,BIO Conferences,/articles/bioconf/abs/2020/11/bioconf_fies-20_00115/bioconf_fies-20_00115.html,{},,html
For a Critique of the Political Economy of the Sign,J Baudrillard,2019,"A material analysis of the sign which deepens Marx's critique of political economy for 
spectacular times. What if the problems of modern society don't come from production, but rather …",https://books.google.com/books?hl=en&lr=&id=_DifDwAAQBAJ&oi=fnd&pg=PR7&dq=economy&ots=nIvuwe4GB5&sig=2RssN5jpeDGlmUkLuSDGKe5fPfk,5243,critique political sign,BOOK,2,3,21,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['_DifDwAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR7'], 'dq': ['economy'], 'ots': ['nIvuwe4GB5'], 'sig': ['2RssN5jpeDGlmUkLuSDGKe5fPfk']}",,
"Hydrogen energy, economy and storage: Review and recommendation","JO Abe, API Popoola, E Ajenifuja",2019,"… of hydrogen economy means innumerable advantages for the environment, energy security, 
economy, and final users. One major key to wholly develop hydrogen economy is safe, …",https://www.sciencedirect.com/science/article/pii/S036031991931465X,2904,hydrogen energy storage review recommendation,HTML,5,5,41,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S036031991931465X,{},,
Putting the sharing economy into perspective,"K Frenken, J Schor",2019,"In the spring of 2014, the sharing economy held an unusual gathering in San Francisco, a 
sort of “coming out” party. Entitled “SHARE,” the conference included not only founders, …",https://www.elgaronline.com/edcollchap-oa/book/9781788117814/book-part-9781788117814-17.xml,2050,putting sharing perspective,,5,3,25,economy,elgaronline.com,Edward Elgar Publishing,/edcollchap-oa/book/9781788117814/book-part-9781788117814-17.xml,{},,xml
The river runs black: the environmental challenge to China's future,EC Economy,2019,"… Economy traces the economic and political roots of China's environmental challenge and 
the evolution of the leadership's response. She argues that China's current approach to …",https://www.degruyter.com/document/doi/10.7591/9780801459443/html,1743,river runs black environmental challenge chinas future,BOOK,3,7,48,economy,degruyter.com,De Gruyter,/document/doi/10.7591/9780801459443/html,{},10.7591/9780801459443/,
Circular economy indicators: What do they measure?,"G Moraga, S Huysveld, F Mathieux, GA Blengini",2019,"Circular Economy (CE) is a growing topic, especially in the European Union, that promotes 
the responsible and cyclical use of resources possibly contributing to sustainable …",https://www.sciencedirect.com/science/article/pii/S092134491930151X,1248,circular indicators measure,HTML,3,3,25,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S092134491930151X,{},,
A taxonomy of circular economy indicators,"M Saidani, B Yannou, Y Leroy, F Cluzel",2019,"Implementing circular economy (CE) principles is increasingly recommended as a convenient 
solution to meet the goals of sustainable development. New tools are required to support …",https://www.sciencedirect.com/science/article/pii/S0959652618330221,1175,taxonomy circular indicators,,3,3,26,economy,sciencedirect.com,ScienceDirect (Elsevier),/science/article/pii/S0959652618330221,{},,
"Rich democracies: Political economy, public policy, and performance",HL Wilensky,2019,"In this landmark work, the culmination of 30 years of systematic, comprehensive comparison 
of 19 rich democracies, Wilensky answers two basic questions:(1) What is distinctly modern …",https://www.degruyter.com/document/doi/10.1525/9780520928336/html,1108,rich democracies political public policy performance,BOOK,2,6,47,economy,degruyter.com,De Gruyter,/document/doi/10.1525/9780520928336/html,{},10.1525/9780520928336/,
