title,authors,year,description,url,citations
COVID-19 and finance: Agendas for future research,JW Goodell,2020.0,"This paper highlights the enormous economic and social impact of COVID-19 with respect 
to articles that have either prognosticated such a large-scale event, and its economic …",https://www.sciencedirect.com/science/article/pii/S1544612320303974,2087
Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot …,", P Seng, M Hocquart, C Eldin, J Finance",2020.0,"Background We need an effective treatment to cure COVID-19 patients and to decrease 
virus carriage duration. Methods We conducted an uncontrolled, non-comparative, …",https://www.sciencedirect.com/science/article/pii/S1477893920301319,949
The impact of digital finance on household consumption: Evidence from China,"J Li, Y Wu, JJ Xiao",2020.0,"… finance index developed by Peking University, this study examined impacts of the digital 
inclusive finance … Results suggest that the digital inclusive finance could promote households …",https://www.sciencedirect.com/science/article/pii/S0264999319310569,725
[PDF][PDF] Decentralized finance,"DA Zetzsche, DW Arner",2020.0,"… finance and centres of finance. Technology and globalization together characterize traditional 
finance … major themes emerging in finance: the idea of ‘open banking’ or ‘open finance’, to …",https://academic.oup.com/jfr/advance-article-pdf/doi/10.1093/jfr/fjaa010/37064506/fjaa010.pdf,638
Impact of green finance on economic development and environmental quality: a study based on provincial panel data from China,"X Zhou, X Tang, R Zhang",2020.0,"… on one aspect of green finance, the score of green finance development index calculated in 
… , and carbon finance to comprehensively reflect the degree of development of green finance. …",https://link.springer.com/article/10.1007/s11356-020-08383-2,590
Climate finance,"H Hong, GA Karolyi",2020.0,"Climate finance is the study of local and global financing of public and private investment 
that seeks to support mitigation of and adaptation to climate change. In 2017, the Review of …",https://academic.oup.com/rfs/article-abstract/33/3/1011/5735309,469
[BOOK][B] Banking on words: The failure of language in the age of derivative finance,A Appadurai,2020.0,"In this provocative look at one of the most important events of our time, renowned scholar Arjun 
Appadurai argues that the economic collapse of 2008—while indeed spurred on by greed…",https://www.degruyter.com/document/doi/10.7208/9780226318806/html,443
[BOOK][B] Machine learning in finance,"MF Dixon, I Halperin, P Bilokon",2020.0,"… Algorithm focused areas of finance, such as algorithmic trading … , academics, and finance 
practitioners from the quantitative … discrete-time stochastic control problems in finance? vii …",https://link.springer.com/content/pdf/10.1007/978-3-030-41068-1.pdf,410
Quantum computing for finance: State-of-the-art and future prospects,"DJ Egger, C Gambella, J Marecek",2020.0,"This article outlines our point of view regarding the applicability, state-of-the-art, and potential 
of quantum computing for problems in finance. We provide an introduction to quantum …",https://ieeexplore.ieee.org/abstract/document/9222275/,376
Evaluation of sentiment analysis in finance: from lexicons to transformers,"K Mishev, A Gjorgjevikj, I Vodenska",2020.0,"… The goal is to apply these approaches to finance. We evaluate … of NLP methodologies for 
text feature extraction in finance. … we evaluate in extraction of finance text sentiments. Section IV …",https://ieeexplore.ieee.org/abstract/document/9142175/,355
The law of finance,A Hudson,2020.0,"This chapter analyses the subject matter of the local authority swaps cases from the point of 
view of a lawyer specialising in interest rate swaps and in financial transactions more broadly…",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003122616-3/law-finance-alastair-hudson,336
Current landscape and influence of big data on finance,"MM Hasan, J Popp, J Oláh",2020.0,"… of this paper was to show the current landscape of finance dealing with big data, and also to 
… institutions, and the relationship with internet finance, financial management, internet credit …",https://link.springer.com/article/10.1186/s40537-020-00291-z,304
Green finance and sustainable development goals: The case of China,JW Lee,2020.0,"… finance? This paper identifies the mainstream to sustainable bonds, diversification of green 
finance… and measurement of green finance for the emerging trends of green finance. As the …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4035104,238
[PDF][PDF] A fundamental reshaping of finance,CRII Risk,2020.0,"As an asset manager, BlackRock invests on behalf of others, and I am writing to you as an 
advisor and duciary to these clients. The money we manage is not our own. It belongs to …",https://www.stern.nyu.edu/sites/default/files/assets/documents/Larry%20Fink%27s%20Letter%20to%20CEOs%20_%20BlackRock.pdf,234
[BOOK][B] Finance: od teorie k realitě,Č Jan,2020.0,"… finance, balance of payments, exchange rates and international monetary cooperation, banking, 
insurance, corporate finance and public finance. … insight into the field of finance, which is …",https://books.google.com/books?hl=en&lr=&id=eykPEAAAQBAJ&oi=fnd&pg=PA10&dq=finance&ots=7m3jRBarnx&sig=s5tS0Ivm5o2rUXubEzb4xDLI9tE,191
Critical macro-finance: A theoretical lens,D Gabor,2020.0,"… -finance (CMF) approach: (1) US-led financial globalization has structurally evolved around 
market-based finance, … for producing liquidity; (2) global finance is a set of interconnected, …",https://www.cambridge.org/core/journals/finance-and-society/article/critical-macrofinance-a-theoretical-lens/12A75C3F4FEAE3A3D89415F071610D17,185
[PDF][PDF] Finance in the times of coronavirus,T Beck,2020.0,"Economists have a bad track record in predictions, so I will not try my hand at predicting the 
effect of the novel coronavirus (COVID-19) on the global financial system or the global …",https://www.fifteentwentyusa.com/_files/ugd/a942d4_70eed638449a4374be8c210f0a6d7a51.pdf#page=80,183
[HTML][HTML] Impact of internet finance on the performance of commercial banks in China,"J Dong, L Yin, X Liu, M Hu, X Li, L Liu",2020.0,"… The rapid development of Internet finance has certainly affected the operation of … of Internet 
finance on commercial banks. First, a theoretical influence mechanism of Internet finance on …",https://www.sciencedirect.com/science/article/pii/S1057521920302234,181
A theory of domestic and international trade finance,JB Ahn,2020.0,"This chapter provides a theory model of trade finance to explain the “great trade collapse.” 
The model shows that, first, the riskiness of international transactions rises relative to domestic …",https://www.emerald.com/insight/content/doi/10.1108/S1569-376720200000021012,175
A bibliometric analysis of managerial finance: a retrospective,"HK Baker, S Kumar, N Pandey",2020.0,"Purpose Managerial finance (MF) started publication in 1975 and celebrated its 45th anniversary 
in 2019. The purpose of this study is to provide a bibliometric analysis of MF between …",https://www.emerald.com/insight/content/doi/10.1108/MF-06-2019-0277/full/html,148
“Intelligent” finance and treasury management: what we can expect,"P Polak, C Nelischer, H Guo, DC Robertson",2020.0,"… challenge in its application to finance/treasury management because … Most finance/treasury 
teams are knowledge workers who … Artificial intelligence in finance and treasury is thus most …",https://link.springer.com/article/10.1007/s00146-019-00919-6,127
The Covid-19 pandemic and local government finance: Czechia and Slovakia,"J Nemec, D Špaček",2020.0,"Purpose The current Covid-19 crisis research focuses especially on epidemiologic and 
macro-level socioeconomic aspects. It only marginally covers impacts on local budgets. Our …",https://www.emerald.com/insight/content/doi/10.1108/JPBAFM-07-2020-0109/full/html,121
Value–rent–finance,"TF Purcell, A Loftus, H March",2020.0,"In this paper, we develop a novel interpretation of the internal relationship between value, 
rent and finance, thereby enabling a new reading of the process of financialisation. As we …",https://journals.sagepub.com/doi/abs/10.1177/0309132519838064,112
Pluralizing and problematizing carbon finance,"G Bridge, H Bulkeley, P Langley",2020.0,"… multiple and relatively discrete forms of carbon finance that explicitly seek to act on carbon … 
carbon finance to expressly avoid confusion with the alternative rubric of ‘climate finance’ that …",https://journals.sagepub.com/doi/abs/10.1177/0309132519856260,109
Prospects and challenges of quantum finance,"A Bouland, W van Dam, H Joorati, I Kerenidis",2020.0,"… quantum computers affect computational finance? For which … finance for the quantitative 
analyst. We provide an in-depth look into several applications of quantum computing to finance, …",https://arxiv.org/abs/2011.06492,109
Digital finance & the COVID-19 crisis,"DW Arner, JN Barberis, J Walker",2020.0,"The COVID-19 coronavirus crisis is putting unprecedented strain on markets, governments, 
businesses and individuals. The human, economic and financial costs are increasing …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3565159,96
Twenty-five years of The European Journal of Finance (EJF): a retrospective analysis,"B Burton, S Kumar, N Pandey",2020.0,"This study commemorates the 25th anniversary of The European Journal of Finance (EJF) 
by providing a detailed retrospective analysis of the journal’s output using a range of …",https://www.tandfonline.com/doi/abs/10.1080/1351847X.2020.1754873,94
Can Machines' Learn'Finance?,"R Israel, BT Kelly, TJ Moskowitz",2020.0,"Abstract Machine learning for asset management faces a unique set of challenges that differ 
markedly from other domains where machine learning has excelled. Understanding these …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3624052,88
Token-based platform finance,"LW Cong, Y Li, N Wang",2020.0,"We develop a dynamic model of platform economy where tokens derive value by facilitating 
transactions among users and the platform conducts optimal token-supply policy. Token …",https://www.nber.org/papers/w27810,87
[BOOK][B] Artificial intelligence in finance,Y Hilpisch,2020.0,"… finance and data science practical ways to apply machine learning and deep learning algorithms 
to finance. … (SI) Understand why data-driven finance, AI, and machine learning will have …",https://books.google.com/books?hl=en&lr=&id=3PYCEAAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=b2wAiLyItL&sig=VTCgkNWXAF5JvgOSOaAi-AUs9e4,85
[BOOK][B] Finance in America: an unfinished story,"KR Brine, M Poovey",2020.0,"… at the heart of modern finance and uncover the … finance through its highs and lows, from 
pre-Depression to post-Recession, exploring the myriad ways in which the practices of finance …",https://www.degruyter.com/document/doi/10.7208/9780226502212/html,52
Great green transition and finance,"C Kemfert, D Schäfer, W Semmler",2020.0,"European governments are struggling to regain economic strength in the coronavirus pandemic 
as in many countries the number of new infections seems to gradually subside. Growth …",https://link.springer.com/article/10.1007/s10272-020-0896-y,50
[BOOK][B] Quantum finance,RST Lee,2020.0,"These two sentences seem to be very simple, but they are major motivations to drive the 
advances in science and technology of human history. However, modern cosmology tells us …",https://link.springer.com/content/pdf/10.1007/978-981-32-9796-8.pdf,43
Offshore finance,"R Fernandez, R Hendrikse",2020.0,"… In other words, if financialization indeed refers to the growing dominance of finance over 
society at large, then offshore finance might quite literally represent the very crown upon this …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315142876-19/offshore-finance-rodrigo-fernandez-reijer-hendrikse,37
[PDF][PDF] Finance in transition: Principles for a positive finance future,"D Loorbach, D Schoenmaker, W Schramade",2020.0,"… finance futures that work positively for planet and people? Are we already seeing such positive 
finance futures emerging? How can we work together to achieve positive finance futures? …",https://www.rsm.nl/fileadmin/Images_NEW/Positive_Change/2020_Finance_in_Transition.pdf,34
[BOOK][B] Introductory econometrics for finance,C Brooks,2019.0,"A complete resource for finance students, this textbook presents the most common empirical 
approaches in finance in a comprehensive and well-illustrated manner that shows how …",https://books.google.com/books?hl=en&lr=&id=3lqHDwAAQBAJ&oi=fnd&pg=PR14&dq=finance&ots=tIgnyfauqb&sig=BmRIEudVdVstGfAvEQNx8DM7zPA,11261
[BOOK][B] Finance capital: A study in the latest phase of capitalist development,R Hiferding,2019.0,"… principal features of imperialism - monopolies, finance capital, export of capital, … Finance 
Capital; but he presented Hilferding's theory in a more intransigent way, by insisting that 'finance …",https://www.taylorfrancis.com/books/mono/10.4324/9780203825181/finance-capital-rudolph-hiferding,2779
[HTML][HTML] Quantum computing for finance: Overview and prospects,"R Orús, S Mugel, E Lizaso",2019.0,"We discuss how quantum computation can be applied to financial problems, providing an 
overview of current approaches and potential prospects. We review quantum optimization …",https://www.sciencedirect.com/science/article/pii/S2405428318300571,735
The way to induce private participation in green finance and investment,F Taghizadeh,2019.0,"… to increase the transparency in green finance and investments. This … finance and investment 
based on projects size. The objective is to induce the private participation in green finance …",https://www.sciencedirect.com/science/article/pii/S1544612319300509,675
[BOOK][B] Islamic finance: Principles and practice,H Visser,2019.0,"… finance. This incisive book reviews the products, institutions and markets offered by Islamic 
finance … for economics and finance students, as well as students of Islamic finance and Islam …",https://books.google.com/books?hl=en&lr=&id=vtbEDwAAQBAJ&oi=fnd&pg=PR1&dq=finance&ots=J4WfV_3nOi&sig=3ELqDlB9TVFKfFMZfh0OWgs3hhY,659
"A bibliometric analysis on green finance: Current status, development, and future directions","D Zhang, Z Zhang, S Managi",2019.0,"… on green finance. Given the fact that a clear conceptual definition of green finance is lacking, 
we … search, namely, green finance, climate finance and carbon finance. We also include a …",https://www.sciencedirect.com/science/article/pii/S1544612319300765,643
[BOOK][B] Informal finance in low-income countries,"DW Adams, RE Hunter",2019.0,"Invisible to official statistics and operating outside the reach of governmental regulation, 
informal finance markets often prove more efficient and more fair than their formal counterparts. …",https://books.google.com/books?hl=en&lr=&id=TCmNDwAAQBAJ&oi=fnd&pg=PT7&dq=finance&ots=dvwg5ZAF61&sig=Ee3fIxiT3WYY6lUHOLggSZ7-f-4,573
[BOOK][B] Urban warfare: Housing under the empire of finance,R Rolnik,2019.0,"How finance and politics have caused the global housing crisis The most comprehensive 
survey of the current crisis, Urban Warfare charts how the financial crisis and wider urban …",https://books.google.com/books?hl=en&lr=&id=mnCKDwAAQBAJ&oi=fnd&pg=PA1&dq=finance&ots=Eiryqb3LwH&sig=0zsMOodsDEXNN_hsRPQD32LW5z8,490
"[BOOK][B] Corporate Finance, 4e","D Hillier, S Ross, R Westerfield, J Jaffe, B Jordan",2019.0,"The fourth edition of Corporate Finance takes an applied approach to cover all the latest 
research and topic areas important to students taking Finance courses. The new edition …",https://books.google.com/books?hl=en&lr=&id=MMovEAAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=iQHp-NuRk5&sig=IR6If2-Qua8OrkevWgTohAzN3Pc,472
Machine learning in energy economics and finance: A review,"H Ghoddusi, GG Creamer, N Rafizadeh",2019.0,"… finance. We critically review the burgeoning literature dedicated to Energy Economics/Finance … 
The focus of this paper is on ML applications in the field of energy economics/finance. …",https://www.sciencedirect.com/science/article/pii/S0140988319301513,452
[BOOK][B] Governing capital: International finance and Mexican politics,S Maxfield,2019.0,"How does international financial integration affect development in newly industrializing 
countries? Sylvia Maxfield offers a challenging interpretation of the Mexican political economy in …",https://books.google.com/books?hl=en&lr=&id=AOmYDwAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=DeAy7Yd3LR&sig=nJAXay5qgK8_zrHR_6llcxCSoYo,421
[HTML][HTML] How do policies mobilize private finance for renewable energy?—A systematic review with an investor perspective,"F Polzin, F Egli, B Steffen, TS Schmidt",2019.0,"With the urgency of climate change, and billions spent globally on renewable energy (RE) 
support policies, it is crucial to understand which policies are effective. Substantial scholarly …",https://www.sciencedirect.com/science/article/pii/S030626191831818X,380
[BOOK][B] Finance for executives: Managing for value creation,"G Hawawini, C Viallet",2019.0,"The text continues to provide a clear and detailed overview of the aspects of financial 
practice students are likely to encounter as executives. Real examples from a range of …",https://thuvienso.hoasen.edu.vn/handle/123456789/11944,330
[BOOK][B] Politics of Islamic Finance,C Henry,2019.0,"Can the contemporary Islamic finance movement be shown to meet the requirements of 
modern commerce? In the wake of the terrorist attacks on America the UN Security Council …",https://books.google.com/books?hl=en&lr=&id=56UxEAAAQBAJ&oi=fnd&pg=PP6&dq=finance&ots=NOuq7Za2uT&sig=UN5F8nrcVB62TYwHmllM3kiQwxE,302
[BOOK][B] From boom to bubble: How finance built the new Chicago,R Weber,2019.0,"In From Boom to Bubble, Rachel Weber debunks the idea that booms occur only when cities 
are growing and innovating. Instead, she argues, even in cities experiencing employment …",https://www.degruyter.com/document/doi/10.7208/9780226294513/html,298
[BOOK][B] Numerical methods and optimization in finance,"M Gilli, D Maringer, E Schumann",2019.0,"Computationally-intensive tools play an increasingly important role in financial decisions. 
Many financial problems—ranging from asset allocation to risk management and from option …",https://books.google.com/books?hl=en&lr=&id=mc6pDwAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=LQ6AAinMJW&sig=6477B-Z9usJBzx2FxyBGJQe7yE0,266
[BOOK][B] The politics of finance in developing countries,"S Haggard, S Maxfield, CH Lee",2019.0,"… The origins of this project reside in our collective dissatisfaction with the literature on the role 
of finance in development. Since the mid1980s, Chung Lee has wrestled with the question of …",https://books.google.com/books?hl=en&lr=&id=ruyYDwAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=Ugkq13GzTT&sig=nraMeSxtoBJDGYroJaBNZgFPTVk,251
Machine learning for quantitative finance applications: A survey,"F Rundo, F Trenta, AL Di Stallo, S Battiato",2019.0,"Featured Application The described approaches can be used in various applications in the 
field of quantitative finance from HFT trading systems to financial portfolio allocation and …",https://www.mdpi.com/2076-3417/9/24/5574,201
New directions in entrepreneurial finance,"D Cumming, M Deloof, S Manigart, M Wright",2019.0,"… forms of entrepreneurial finance. We summarize … finance at different points in the life cycle, 
including work on trade credit, debt finance, micro-cap IPOs, venture capital, and angel finance…",https://www.sciencedirect.com/science/article/pii/S0378426619300342,191
Finance and carbon emissions,"R De Haas, AA Popov",2019.0,"… finance has also laid bare our limited understanding of the relation between regular finance 
… To date, no rigorous empirical evidence exists on whether and how finance affects industrial …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3459987,172
Artificial intelligence in finance,BG Buchanan,2019.0,Abstract Algorithmic trading Artificial intelligence Blockchain Cryptocurrency Deep learning Fintech Fraud Literature review Finance Machine Learning,https://openresearch.surrey.ac.uk/esploro/outputs/report/Artificial-intelligence-in-finance/99817432502346?institution=44SUR_INST,145
An overview of green finance,"R Berrou, P Dessertine, M Migliorelli",2019.0,"… finance from its origins to the present. In this respect, the main roots of the role of ethics in 
finance … the role of green finance today within the sustainable finance landscape, including an …",https://link.springer.com/chapter/10.1007/978-3-030-22510-0_1,132
Trends and applications of machine learning in quantitative finance,"S Emerson, R Kennedy, L O'Shea",2019.0,"… commercial applications across many industries, not least the finance industry. This paper 
focuses on applications in one of the core functions of finance, the investment process. This …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3397005,121
Complexity in structured finance,"AC Ghent, WN Torous",2019.0,"We study complexity in the market for securitized products, a market at the heart of the 
financial crisis of 2007–9. The complexity of these products rose substantially in the years …",https://academic.oup.com/restud/article-abstract/86/2/694/4683648,101
Beyond finance: Impact of Islamic finance on economic growth in Pakistan,"H Nawaz, M Abrar, A Salman",2019.0,"Islamic finance, which may have been considered only in the context of a multitude of 
trading structures among economists, merits a fresh evaluation in how it dovetails with and …",https://journal.uii.ac.id/JEP/article/view/11085,83
"Finance big data: Management, analysis, and applications","Y Sun, Y Shi, Z Zhang",2019.0,"… Big Data is fueling the transformation of finance and business at-large in … finance research 
and data science. In this fascinating area, experts and scientists can propose novel finance …",https://www.tandfonline.com/doi/abs/10.1080/10864415.2018.1512270,78
Finance and productivity: A literature review,M Heil,2019.0,"Investigating the nexus between productivity and finance, and the policies that influence them, 
will improve the understanding of researchers and policy makers interested in harnessing …",https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119565178.ch6,52
Making consumer finance work,N Sarin,2019.0,"The financial crisis exposed major fault lines in banking and financial markets more broadly. 
Policymakers responded with farreaching regulation that created a new agency—the …",https://www.jstor.org/stable/26794350,50
Managing personal finance literacy in the United States: A case study,"JJ Beck, RO Garris III",2019.0,"… This study investigates the perspectives and impact that personal finance education … finance 
courses offered in K-12 schools and at the collegiate level. They also want personal finance …",https://www.mdpi.com/2227-7102/9/2/129,47
Documenting the accessibility of 100 US bank and finance websites,"B Wentz, D Pham, E Feaser, D Smith, J Smith",2019.0,"… broader state of banking and finance website accessibility for people with … finance websites 
but also reveal common problems and strategies that may benefit the banking and finance …",https://link.springer.com/article/10.1007/s10209-018-0616-6,45
[CITATION][C] Transition Finance: Introducing a new concept,"C Piemonte, O Cattaneo, R Morris, A Pincet",2019.0,,No URL,40
[BOOK][B] The making of finance,"I Chambost, M Lenglet, Y Tadjeddine",2019.0,"… Through a detailed study of the organisation and functioning of financial intermediaries and 
institutions, the contributors to this volume analyse ‘finance in the making’, by shedding light on …",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781351016117&type=googlepdf,31
[HTML][HTML] Impact of digital finance on financial inclusion and stability,PK Ozili,2018.0,"… This study examine the impact of digital finance for financial inclusion and financial … finance, 
this article provides a discussion on digital finance and explores the impact of digital finance …",https://www.sciencedirect.com/science/article/pii/S2214845017301503,2140
Measuring firm size in empirical corporate finance,"C Dang, ZF Li, C Yang",2018.0,"… we investigate 100 empirical papers from top finance, accounting, and economics … finance, 
these three measures are the most popular firm size proxies in empirical corporate finance …",https://www.sciencedirect.com/science/article/pii/S0378426617302200,1050
[BOOK][B] Real estate finance and investments,"WB Brueggeman, JD Fisher",2018.0,"The 16th edition of this book prepares students to understand the risks and rewards associated 
with investing in and financing both residential and commercial real estate. Concepts …",https://thuvienso.hoasen.edu.vn/handle/123456789/11853,986
School finance reform and the distribution of student achievement,"J Lafortune, J Rothstein",2018.0,"We study the impact of post-1990 school finance reforms, during the so-called “adequacy” 
era, on absolute and relative spending and achievement in low-income school districts. Using …",https://www.aeaweb.org/articles?id=10.1257/app.20160567,917
New players in entrepreneurial finance and why they are there,"JH Block, MG Colombo, DJ Cumming",2018.0,"The landscape for entrepreneurial finance has changed strongly over the last years. Many 
new players have entered the arena. This editorial introduces and describes the new players …",https://link.springer.com/article/10.1007/s11187-016-9826-6,851
[CITATION][C] Optimization methods in finance,"G Cornuejols, J Peña, R Tütüncü",2018.0,,No URL,761
[BOOK][B] Public finance,HL Bhatia,2018.0,"The book Public Finance continues its stride of presenting the latest information on Indian 
Budget. Over two generations now it has virtually become an encyclopedia on all financial …",https://books.google.com/books?hl=en&lr=&id=-Uh1DwAAQBAJ&oi=fnd&pg=PR1&dq=finance&ots=hMx3T3edpx&sig=Ml6sGVyXMFjmVIGXWrS8l_cwL8M,738
[BOOK][B] Principles of sustainable finance,"D Schoenmaker, W Schramade",2018.0,"… A very basic understanding of finance is needed to use this textbook, as we assume that 
students are familiar with well-known finance tools, such as the discounted cash flow model and …",https://books.google.com/books?hl=en&lr=&id=Hst-DwAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=8qeIbYTnfp&sig=wM6kldELzaB-NK_mtCQfMZQs_J8,618
[BOOK][B] Finance and financial markets,K Pilbeam,2018.0,"This popular textbook offers a broad and accessible introduction to the building blocks of 
modern finance: financial markets, institutions and instruments. Focussing on the core elements …",https://books.google.com/books?hl=en&lr=&id=ihtHEAAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=SC98Kd6tQG&sig=ycDn-hoxdBaayf_B8Iz4AhNbpGk,512
The importance of project finance for renewable energy projects,B Steffen,2018.0,"… of finance. Eight potential reasons for using project finance are distilled from economic and 
finance … with particularly low investment risks, project finance has much larger importance for …",https://www.sciencedirect.com/science/article/pii/S0140988317303870,399
"Bridging funding gaps for climate and sustainable development: Pitfalls, progress and potential of private finance","R Clark, J Reed, T Sunderland",2018.0,"… Despite the increasing appeal of green finance as a concept, … ’ the trillions of dollars of 
private finance that is available for … —or required—finance and the actual finance invested in …",https://www.sciencedirect.com/science/article/pii/S0264837717310049,374
[BOOK][B] Personal finance,"JR Kapoor, LR Dlabay, RJ Hughes, L Stevenson",2018.0,"This book provides the perfect balance between practical application and comprehensive 
coverage of personal financial planning theories. Coverage includes personal financial …",https://thuvienso.hoasen.edu.vn/handle/123456789/12268,369
[PDF][PDF] Introduction to Mathematical Finance,U Horst,2018.0,"Our presentation concentrates on options and other derivative securities. Options are among 
the most relevant and widely spread financial instruments. The need to price and hedge …",https://www.applied-financial-mathematics.de/sites/default/files/main-student.pdf,367
Big data in finance and the growth of large firms,"J Begenau, M Farboodi, L Veldkamp",2018.0,"Two modern economic trends are the increase in firm size and advances in information 
technology. We explore the hypothesis that big data disproportionately benefits big firms. …",https://www.sciencedirect.com/science/article/pii/S0304393218302174,355
"[HTML][HTML] Payment instruments, finance and development","T Beck, H Pamuk, R Ramrattan, BR Uras",2018.0,"… firms to extend access to external finance and thus grow faster. … First, we contribute to the 
macro-finance literature, which … the above mentioned macro-finance literature by developing a …",https://www.sciencedirect.com/science/article/pii/S0304387818300075,340
The exchange rate in a behavioral finance framework,"P De Grauwe, M Grimaldi",2018.0,"The study of exchange rates has undergone large fluctuations, very much like the exchange 
rates themselves. During the 1970s, when the exchange rates of the major currencies were …",https://www.torrossa.com/gs/resourceProxy?an=5643079&publisher=FZO137,327
Finance and corporate innovation: A survey,"J He, X Tian",2018.0,"… finance, … finance and innovation literature, we searched “innovation” in the titles, abstracts, 
and key words of academic papers that were published in the top six accounting and finance …",https://onlinelibrary.wiley.com/doi/abs/10.1111/ajfs.12208,308
Big data opportunities for accounting and finance practice and research,"S Cockcroft, M Russell",2018.0,"… with a specific focus on accounting and finance topics. This also identifies gaps … finance. 
For IS researchers, we identify gaps in the existing IS literature dealing specifically with finance …",https://onlinelibrary.wiley.com/doi/abs/10.1111/auar.12218,300
Hawkes processes and their applications to finance: a review,AG Hawkes,2018.0,"… Much of this recent activity has been in finance, social networks and mathematical theory. In 
… first application of Hawkes processes in finance as nowadays working papers may appear …",https://www.tandfonline.com/doi/abs/10.1080/14697688.2017.1403131,284
Financing multiple heterogeneous suppliers in assembly systems: Buyer finance vs. bank finance,"S Deng, C Gu, G Cai, Y Li",2018.0,"… We also compare buyer finance with bank finance from the perspective of the suppliers. 
We find that the suppliers’ preferences are not always aligned with the assembler. A supplier’s …",https://pubsonline.informs.org/doi/abs/10.1287/msom.2017.0677,182
Expanding horizons: The 3rd European alternative finance industry report,"T Ziegler, R Shneor, K Garvey, K Wenzlaff",2018.0,"… Alternative Finance Report presents the most comprehensive analysis of the status of 
alternative finance industry in Europe, covering more countries, alternative finance models, as well …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3106911,177
[BOOK][B] Behavioural economics and finance,M Baddeley,2018.0,"Behavioural economics and behavioural finance are rapidly expanding fields that are continually 
growing in prominence. While orthodox economic models are built upon restrictive and …",https://www.taylorfrancis.com/books/mono/10.4324/9781315211879/behavioural-economics-finance-michelle-baddeley,171
Mixed methods in finance research: The rationale and research designs,"NJ Dewasiri, YKB Weerakoon",2018.0,"… gaps in mixed method applications in finance: (a) poorly or … Finance studies based on 
quantitative methods and proxy … We suggest that researchers in the finance discipline should …",https://journals.sagepub.com/doi/abs/10.1177/1609406918801730,139
Green finance: a step towards sustainable development,"S Mohd, VK Kaushal",2018.0,"… the green finance and future scope of green finance in India. … , ix) finance in eco-friendly 
products, x) micro finance to be … low interest rate, and xi) finance in rain water harvesting and …",https://www.indianjournals.com/ijor.aspx?target=ijor:mjfa&volume=5&issue=1&article=005,126
"Introduction to the special issue on research at the interface of finance, operations, and risk management (iFORM): Recent contributions and future directions","V Babich, P Kouvelis",2018.0,"… ing: supply chain finance, such as trade credit and buyer-intermediated finance and their effects 
on … We suggest four promising directions of future iFORM research: supply chain finance, …",https://pubsonline.informs.org/doi/abs/10.1287/msom.2018.0706,123
"Wages and human capital in finance: International evidence, 1970–2011","H Boustanifar, E Grant, A Reshef",2018.0,"We study the allocation and compensation of human capital in the finance industry in a set 
of developed economies in 1970–2011. Finance relative wages generally increase—but not …",https://academic.oup.com/rof/article-abstract/22/2/699/3075313,112
Estimating and testing dynamic corporate finance models,"S Bazdresch, RJ Kahn, TM Whited",2018.0,"We assess the finite sample performance of simulation estimators that are used to estimate 
the parameters of dynamic corporate finance models. We formulate an external validity …",https://academic.oup.com/rfs/article-abstract/31/1/322/3964633,102
Corporate finance and monetary policy,"G Rocheteau, R Wright, C Zhang",2018.0,"We develop a general equilibrium model where entrepreneurs finance random investment 
opportunities using trade credit, bank-issued assets, or currency. They search for bank …",https://www.aeaweb.org/articles?id=10.1257/aer.20161048,101
[PDF][PDF] Big tech in finance and new challenges for public policy,A Carstens,2018.0,"Like many of you, I have long been interested in the potential for innovation to improve 
financial services. One of the most notable developments in recent years has been the entry of …",https://www.suerf.org/wp-content/uploads/2023/12/f_ccb421d5f36c5a412816d494b15ca9f6_4287_suerf.pdf,79
Finance and sustainability: From ideology to utopia,T Lagoarde,2018.0,"This paper is based on the observation that there is a contradiction between the current 
demands for sustainability and the way the financial system works. Beginning with a discussion …",https://www.sciencedirect.com/science/article/pii/S1057521917301412,74
Empirical analyses of networks in finance,"G Iori, RN Mantegna",2018.0,"The recent global financial crisis has triggered a huge interest in the use of network 
concepts and network tools to better understand how instabilities can propagate through the …",https://www.sciencedirect.com/science/article/pii/S1574002118300054,64
