title,authors,year,description,url,citations,cluster,type,clean_title,word_count,char_count,category,domain,publisher,path,query_params,doi,extension
bookb consultation adapt influenza sentinel surveillance systems include covid19 virological surveillance virtual meeting 68 october 2020,World Health Organization,2022.0,"… If you create a translation of this work, you should add the following disclaimer along with 
the suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=5nkOEQAAQBAJ&oi=fnd&pg=PP4&dq=health&ots=XgMkaovnZh&sig=Z0YHtaUI1NRgVfb7_bRA3hapdbY,1581,4,BOOK,"WHO consultation to adapt influenza sentinel surveillance systems to include COVID-19 virological surveillance: virtual meeting, 6–8 October 2020",18,128,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['5nkOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP4'], 'dq': ['health'], 'ots': ['XgMkaovnZh'], 'sig': ['Z0YHtaUI1NRgVfb7_bRA3hapdbY']}",,
lifes essential 8 updating enhancing american heart associations construct cardiovascular health presidential advisory american heart,DM Lloyd,2022.0,"… health and psychological health were addressed as crucial factors in optimizing and preserving 
cardiovascular health. … an enhanced approach to assessing cardiovascular health: Life’s …",https://www.ahajournals.org/doi/abs/10.1161/cir.0000000000001078,1484,1,,Life's essential 8: updating and enhancing the American Heart Association's construct of cardiovascular health: a presidential advisory from the American Heart …,22,141,health,ahajournals.org,American Heart Association Journals,/doi/abs/10.1161/cir.0000000000001078,{},,0000000000001078
htmlhtml pollution health progress update,"R Fuller, PJ Landrigan, K Balakrishnan",2022.0,"The Lancet Commission on pollution and health reported that pollution was responsible for 
9 million premature deaths in 2015, making it the world's largest environmental risk factor for …",https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(22)00090-0/fulltext?ref=drilledpodcast.com,1470,1,HTML,Pollution and health: a progress update,6,34,health,thelancet.com,The Lancet,/journals/lanplh/article/PIIS2542-5196(22)00090-0/fulltext,{'ref': ['drilledpodcast.com']},,
bookb planning implementing evaluating health promotion programs,"JF McKenzie, BL Neiger, R Thackeray",2022.0,"… While we distinguish between health education and health promotion in theory, it may be … 
of health promotion without engaging in health education? Conversely, health education is …",https://books.google.com/books?hl=en&lr=&id=2Bh1EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=U3soWsITdt&sig=nXIwJ7SIj0l3eca0_Az9mphwo6g,1397,1,BOOK,"Planning, implementing and evaluating health promotion programs",7,57,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['2Bh1EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['U3soWsITdt'], 'sig': ['nXIwJ7SIj0l3eca0_Az9mphwo6g']}",,
consolidated health economic evaluation reporting standards 2022 cheers 2022 statement updated reporting guidance health economic evaluations,"D Husereau, M Drummond",2022.0,"… As there is an increasing need for clarity of information to support healthcare decision 
making and attention to healthcare expenditure, we anticipate the role of published health …",https://journals.sagepub.com/doi/abs/10.1177/23814683211061097,1388,8,,Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement: updated reporting guidance for health economic evaluations,17,132,health,journals.sagepub.com,SAGE Publications,/doi/abs/10.1177/23814683211061097,{},10.1177/23814683211061097,
de facto us mental health services system public health perspective,"DA Regier, ID Goldberg, CA Taube",2022.0,"… epidemiological and health services … health services, including the essential first-level 
services of screening and diagnosis. The mental health services of the specialty mental health …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003282389-9/de-facto-us-mental-health-services-system-public-health-perspective-darrel-regier-irving-goldberg-carl-taube,1321,3,,The de facto US mental health services system: a public health perspective,12,63,health,taylorfrancis.com,Taylor & Francis,/chapters/edit/10.4324/9781003282389-9/de-facto-us-mental-health-services-system-public-health-perspective-darrel-regier-irving-goldberg-carl-taube,{},10.4324/9781003282389,
bookb health care data guide learning data improvement,"LP Provost, SK Murray",2022.0,"… healthcare outcomes. In the book, a team of distinguished authors explores how health care 
… professionals can confidently plan and implement health care enhancements and changes, …",https://books.google.com/books?hl=en&lr=&id=xMlxEAAAQBAJ&oi=fnd&pg=PA17&dq=health&ots=fO1u07IF5m&sig=-FVSOA_7QXyeOnG0pnLAVwiJDz8,1147,1,BOOK,The health care data guide: learning from data for improvement,10,53,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['xMlxEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA17'], 'dq': ['health'], 'ots': ['fO1u07IF5m'], 'sig': ['-FVSOA_7QXyeOnG0pnLAVwiJDz8']}",,
pdfpdf sleep health society,MA Grandner,2022.0,"… as pertaining to the following categories: general health, cardiovascular health, metabolic 
health, mental health, immunologic health, human performance, cancer, pain, and mortality. …",https://www.sciencedirect.com/science/article/am/pii/S1556407X22000200,932,1,PDF,"Sleep, health, and society",4,23,health,sciencedirect.com,ScienceDirect (Elsevier),/science/article/am/pii/S1556407X22000200,{},,
bookb stronger collaboration equitable resilient recovery towards healthrelated sustainable development goals incentivizing collaboration 2022,World Health Organization,2022.0,"… As COVID-19 continued to dominate global health over the last year, the direct and indirect 
impact of the pandemic has led progress against the health-related Sustainable Development …",https://books.google.com/books?hl=en&lr=&id=YnkOEQAAQBAJ&oi=fnd&pg=PR4&dq=health&ots=HdnV57VsSW&sig=IRyZLoHd-_6ack1L4sFB3bUxjtg,888,4,BOOK,"Stronger collaboration for an equitable and resilient recovery towards the health-related Sustainable Development Goals, incentivizing collaboration: 2022 …",18,140,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['YnkOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR4'], 'dq': ['health'], 'ots': ['HdnV57VsSW'], 'sig': ['IRyZLoHd-_6ack1L4sFB3bUxjtg']}",,
bookb introduction health behavior theory,J Hayden,2022.0,"… to the theoretical basis of health education, Introduction to Health Behavior Theory, Fourth 
… factors influence health behavior theory. Covering the more commonly used health behavior …",https://books.google.com/books?hl=en&lr=&id=ufJ3EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=hTJUln5cNl&sig=RwXe-WM8gZSycYBkxrAKpfi_cHo,888,1,BOOK,Introduction to health behavior theory,5,34,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['ufJ3EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['hTJUln5cNl'], 'sig': ['RwXe-WM8gZSycYBkxrAKpfi_cHo']}",,
pdfpdf postpandemic health sustainability educational situation,"IW Suryasa, M Rodríguez",2022.0,"… Health, it was learned that some 1,600 workers in the health … as those presented by the 
health personnel of Mexico (… It is unfortunate that the conditions under which health workers …",https://www.academia.edu/download/89490563/Editorial_5949_i_v_IJHS.pdf,848,1,PDF,Post-pandemic health and its sustainability: Educational situation,7,60,health,academia.edu,Academia.edu,/download/89490563/Editorial_5949_i_v_IJHS.pdf,{},,pdf
cultural account health control release social body,R Crawford,2022.0,"… , or prescriptions for maintaining and improving health, one or more of these related … health 
behavior, or minimally responsible health behavior, have been expanding. The new health …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003284857-3/cultural-account-health-robert-crawford,830,1,,"A cultural account of “health”: Control, release, and the social body",11,59,health,taylorfrancis.com,Taylor & Francis,/chapters/edit/10.4324/9781003284857-3/cultural-account-health-robert-crawford,{},10.4324/9781003284857,
bookb safety health engineers,RL Brauer,2022.0,"… workers, users, and the public Ensuring the health and safety of individuals in the workplace 
is … It is imperative—by law and ethics—for engineers and safety and health professionals to …",https://books.google.com/books?hl=en&lr=&id=CU9_EAAAQBAJ&oi=fnd&pg=PR7&dq=health&ots=Kof1oz-JBy&sig=7uUeDGDfw0sUgnxFtLZKTtZcSUE,692,1,BOOK,Safety and health for engineers,5,27,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['CU9_EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR7'], 'dq': ['health'], 'ots': ['Kof1oz-JBy'], 'sig': ['7uUeDGDfw0sUgnxFtLZKTtZcSUE']}",,
bookb antenatal care recommendations positive pregnancy experience maternal fetal assessment update imaging ultrasound 24 weeks,World Health Organization,2022.0,"Evidence from a Cochrane systematic review on imaging ultrasound conducted before 24 
weeks of pregnancy was evaluated as part of the World Health Organization (WHO) antenatal …",https://books.google.com/books?hl=en&lr=&id=WXRyEAAAQBAJ&oi=fnd&pg=PR4&dq=health&ots=Vyw_reU-lh&sig=mOsXX5dEY2_9CIu6dpW_yjHkE4g,554,1,BOOK,WHO antenatal care recommendations for a positive pregnancy experience. Maternal and fetal assessment update: Imaging ultrasound before 24 weeks of …,21,130,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['WXRyEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR4'], 'dq': ['health'], 'ots': ['Vyw_reU-lh'], 'sig': ['mOsXX5dEY2_9CIu6dpW_yjHkE4g']}",,
challenges implementing artificial intelligence healthcare qualitative interview study healthcare leaders sweden,"L Petersson, I Larsson, JM Nygren, P Nilsen",2022.0,"… and beyond the healthcare system in general … healthcare system, internal capacity for 
strategic change management, along with transformation of healthcare professions and healthcare …",https://link.springer.com/article/10.1186/s12913-022-08215-8,283,9,,Challenges to implementing artificial intelligence in healthcare: a qualitative interview study with healthcare leaders in Sweden,16,114,health,link.springer.com,Springer,/article/10.1186/s12913-022-08215-8,{},10.1186/s12913,
bookb guidelines mental health work,World Health Organization,2022.0,"… global public health guidance on … health and prevention of mental health conditions, as 
well as recommendations on returning to work following absence associated with mental health …",https://books.google.com/books?hl=en&lr=&id=LnkOEQAAQBAJ&oi=fnd&pg=PR5&dq=health&ots=cdNhvDmnK-&sig=35NicwO2IXYi52MXmsYVuLMLuFo,272,7,BOOK,WHO guidelines on mental health at work,7,33,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['LnkOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR5'], 'dq': ['health'], 'ots': ['cdNhvDmnK-'], 'sig': ['35NicwO2IXYi52MXmsYVuLMLuFo']}",,
covid19 pandemic effects health workers mental health systematic review metaanalysis,"C Aymerich, B Pedruzo, JL Pérez, M Laborda",2022.0,"Background Healthcare workers (HCWs) exposed to coronavirus 19 (COVID-19) are at high 
risk of developing mental health concerns across several domains. The aim of this study is …",https://www.cambridge.org/core/journals/european-psychiatry/article/covid19-pandemic-effects-on-health-workers-mental-health-systematic-review-and-metaanalysis/A6DC06C71E38C311893B5FF3FC82F8F9,215,6,,COVID-19 pandemic effects on health worker's mental health: Systematic review and meta-analysis,12,84,health,cambridge.org,Cambridge University Press,/core/journals/european-psychiatry/article/covid19-pandemic-effects-on-health-workers-mental-health-systematic-review-and-metaanalysis/A6DC06C71E38C311893B5FF3FC82F8F9,{},,
bookb people healthy others determinants health populations,"RG Evans, ML Barer, TR Marmor",2021.0,"… These findings challenge the conventional views of how health is … health. They are extensive 
and secure enough, we believe, to support a"" paradigm shift"" in the scholarship of health. …",https://books.google.com/books?hl=en&lr=&id=zIWtEAAAQBAJ&oi=fnd&pg=PR9&dq=health&ots=RhgSiBP47v&sig=XRfLujqqnltRp8aGwjFeRiZwXD4,2310,1,BOOK,Why are some people healthy and others not?: The determinants of health of populations,14,73,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['zIWtEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR9'], 'dq': ['health'], 'ots': ['RhgSiBP47v'], 'sig': ['XRfLujqqnltRp8aGwjFeRiZwXD4']}",,
bookb sociology mental health illness 6e,"A Rogers, D Pilgrim",2021.0,"… mental health Birth: mental health challenges at the start of life Childhood and mental health 
… abuse Adolescence, social media and mental health The challenges of entering adulthood …",https://books.google.com/books?hl=en&lr=&id=zsgvEAAAQBAJ&oi=fnd&pg=PA1&dq=health&ots=bOjG8QUKT8&sig=0EfDcnuLdixWq6GNUbb-deRYCHw,1515,7,BOOK,A Sociology of Mental Health and Illness 6e,8,36,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['zsgvEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA1'], 'dq': ['health'], 'ots': ['bOjG8QUKT8'], 'sig': ['0EfDcnuLdixWq6GNUbb-deRYCHw']}",,
pdfpdf global expenditure health public spending rise,World Health Organization,2021.0,"… Its ongoing collaboration with the OECD Health Accounts Team and Eurostat, as well as with 
the European Observatory on Health Systems and Policies, has played a key role in ensuring …",https://apps.who.int/iris/bitstream/handle/10665/350560/9789240041219-eng.pdf?s,1492,3,PDF,Global expenditure on health: public spending on the rise?,9,50,health,apps.who.int,World Health Organization IRIS,/iris/bitstream/handle/10665/350560/9789240041219-eng.pdf,{},,pdf
pdfpdf suicide worldwide 2019 global health estimates,World Health Organization,2021.0,"Suicide is a serious global public health issue. Globally, 703 000 people die by suicide every 
year. Suicide is among the leading causes of death worldwide, with more deaths due to …",https://apps.who.int/iris/bitstream/handle/10665/341728/9789240026643-eng.pdf?sequence=1.,1454,3,PDF,Suicide worldwide in 2019: global health estimates,7,44,health,apps.who.int,World Health Organization IRIS,/iris/bitstream/handle/10665/341728/9789240026643-eng.pdf,{'sequence': ['1.']},,pdf
mental health wellbeing covid19 pandemic longitudinal analyses adults uk covid19 mental health wellbeing study,"RC O'Connor, K Wetherall, S Cleare",2021.0,"… demonstrated that mental health deteriorated in the … health measures are important to protect 
physical health, but it is essential that we gain a clearer understanding of the mental health …",https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/mental-health-and-wellbeing-during-the-covid19-pandemic-longitudinal-analyses-of-adults-in-the-uk-covid19-mental-health-wellbeing-study/F7321CBF45C749C788256CFE6964B00C,1377,0,,Mental health and well-being during the COVID-19 pandemic: longitudinal analyses of adults in the UK COVID-19 Mental Health & Wellbeing study,21,121,health,cambridge.org,Cambridge University Press,/core/journals/the-british-journal-of-psychiatry/article/mental-health-and-wellbeing-during-the-covid19-pandemic-longitudinal-analyses-of-adults-in-the-uk-covid19-mental-health-wellbeing-study/F7321CBF45C749C788256CFE6964B00C,{},,
